    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
      75.29       0.170       0.181       0.119       0.057       0.040       0.077       0.646
      75.46       0.171       0.182       0.120       0.057       0.040       0.077       0.650
      75.73       0.167       0.178       0.121       0.052       0.046       0.078       0.656
      76.01       0.174       0.186       0.122       0.052       0.046       0.079       0.662
      76.48       0.171       0.183       0.124       0.059       0.047       0.081       0.673
      76.83       0.179       0.191       0.125       0.060       0.048       0.082       0.681
      76.94       0.180       0.192       0.126       0.060       0.048       0.083       0.684
      77.30       0.182       0.194       0.121       0.061       0.048       0.084       0.692
      77.50       0.180       0.195       0.125       0.058       0.046       0.085       0.697
      77.74       0.179       0.197       0.129       0.055       0.043       0.085       0.703
      78.56       0.184       0.197       0.133       0.057       0.051       0.088       0.725
      78.70       0.191       0.204       0.134       0.064       0.051       0.089       0.729
      79.08       0.194       0.207       0.136       0.065       0.052       0.090       0.739
      79.48       0.197       0.210       0.138       0.066       0.052       0.092       0.750
      79.76       0.199       0.212       0.139       0.066       0.053       0.093       0.757
      80.00       0.200       0.214       0.140       0.067       0.053       0.094       0.764
      80.21       0.202       0.215       0.141       0.061       0.047       0.094       0.769
      80.55       0.204       0.211       0.143       0.061       0.048       0.096       0.778
      80.94       0.207       0.221       0.145       0.069       0.048       0.097       0.789
      81.16       0.208       0.222       0.146       0.069       0.056       0.098       0.795
      81.58       0.211       0.225       0.148       0.070       0.056       0.099       0.806
      81.94       0.214       0.228       0.150       0.071       0.057       0.101       0.816
      82.10       0.215       0.229       0.150       0.069       0.057       0.101       0.820
      82.43       0.217       0.232       0.152       0.065       0.058       0.103       0.829
      82.67       0.219       0.233       0.153       0.066       0.058       0.104       0.835
      82.70       0.219       0.233       0.153       0.066       0.058       0.104       0.836
      83.25       0.222       0.229       0.155       0.074       0.052       0.105       0.848
      83.42       0.223       0.238       0.156       0.074       0.052       0.106       0.851
      83.67       0.224       0.239       0.157       0.075       0.052       0.106       0.857
      84.00       0.226       0.241       0.158       0.075       0.053       0.107       0.864
      84.26       0.228       0.243       0.159       0.076       0.061       0.108       0.869
      84.50       0.229       0.244       0.160       0.076       0.061       0.109       0.875
      84.72       0.230       0.246       0.161       0.069       0.061       0.109       0.879
      84.86       0.231       0.246       0.162       0.069       0.062       0.110       0.882
      85.16       0.233       0.248       0.163       0.078       0.062       0.111       0.889
      85.50       0.235       0.250       0.164       0.078       0.063       0.112       0.896
      85.69       0.236       0.251       0.165       0.079       0.063       0.112       0.900
      85.87       0.237       0.253       0.166       0.079       0.063       0.113       0.904
      86.23       0.239       0.255       0.167       0.080       0.056       0.114       0.912
      86.40       0.240       0.256       0.168       0.080       0.056       0.114       0.915
      86.77       0.242       0.258       0.169       0.073       0.056       0.115       0.923
      86.98       0.243       0.259       0.170       0.073       0.065       0.116       0.928
      87.30       0.245       0.261       0.171       0.073       0.065       0.117       0.935
      87.61       0.246       0.263       0.173       0.082       0.066       0.118       0.941
      88.10       0.249       0.266       0.174       0.083       0.066       0.119       0.952
      88.11       0.249       0.266       0.174       0.083       0.066       0.119       0.952
      88.14       0.249       0.266       0.175       0.083       0.067       0.119       0.953
      88.42       0.251       0.268       0.176       0.084       0.067       0.120       0.959
      88.60       0.245       0.269       0.176       0.084       0.067       0.121       0.963
      88.64       0.244       0.269       0.177       0.084       0.067       0.121       0.964
      88.90       0.254       0.271       0.178       0.085       0.059       0.122       0.971
      89.14       0.256       0.273       0.179       0.077       0.060       0.122       0.977
      89.70       0.260       0.277       0.182       0.078       0.069       0.124       0.992
      90.14       0.263       0.280       0.184       0.088       0.070       0.125       1.004
      90.45       0.265       0.283       0.186       0.088       0.071       0.126       1.012
      90.71       0.258       0.285       0.187       0.089       0.071       0.127       1.019
      91.00       0.269       0.287       0.188       0.090       0.072       0.128       1.026
      91.48       0.272       0.290       0.191       0.082       0.064       0.130       1.039
      91.69       0.274       0.292       0.192       0.091       0.064       0.130       1.045
      91.81       0.275       0.293       0.192       0.092       0.064       0.131       1.048
      92.09       0.277       0.295       0.194       0.092       0.074       0.131       1.055
      92.55       0.280       0.299       0.196       0.093       0.075       0.133       1.068
      92.81       0.282       0.300       0.197       0.094       0.075       0.134       1.074
