    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     295.57       1.871       2.769       1.796       0.674       0.374       0.000       7.484
     296.17       1.873       2.772       1.798       0.674       0.375       0.000       7.493
     296.19       1.873       2.772       1.798       0.674       0.374       0.000       7.493
     299.50       1.886       2.791       1.810       0.679       0.302       0.000       7.543
     300.00       1.888       2.794       1.812       0.680       0.302       0.000       7.550
     300.80       1.895       2.805       1.820       0.682       0.303       0.000       7.582
     303.31       1.920       2.842       1.843       0.691       0.307       0.000       7.681
     303.78       1.925       2.849       1.848       0.693       0.308       0.000       7.699
     303.80       1.925       2.849       1.848       0.693       0.307       0.000       7.700
     310.00       2.019       3.010       1.940       0.755       0.141       0.000       7.900
     315.00       2.099       3.149       2.019       0.807       0.001       0.000       8.075
     315.02       2.100       3.150       2.019       0.808       0.000       0.000       8.076
     315.05       2.100       3.150       2.019       0.808       0.000       0.000       8.077
     316.10       2.110       3.164       2.028       0.811       0.000       0.000       8.114
     316.20       2.110       3.166       2.029       0.812       0.000       0.000       8.117
     319.01       2.136       3.204       2.054       0.822       0.000       0.000       8.215
     319.83       2.143       3.215       2.061       0.824       0.000       0.000       8.244
     320.00       2.145       3.218       2.063       0.824       0.000       0.000       8.250
     320.56       2.150       3.229       2.067       0.823       0.000       0.000       8.270
     325.00       2.191       3.314       2.106       0.814       0.000       0.000       8.425
     330.00       2.236       3.411       2.150       0.803       0.000       0.000       8.600
     335.00       2.278       3.504       2.190       0.789       0.000       0.000       8.760
     335.05       2.278       3.505       2.190       0.789       0.000       0.000       8.762
     335.39       2.281       3.509       2.193       0.790       0.000       0.000       8.772
     335.41       2.281       3.509       2.193       0.790       0.000       0.000       8.773
     340.00       2.319       3.568       2.230       0.803       0.000       0.000       8.920
     345.00       2.362       3.634       2.271       0.818       0.000       0.000       9.085
     345.13       2.363       3.636       2.272       0.818       0.000       0.000       9.089
     345.74       2.368       3.644       2.277       0.820       0.000       0.000       9.109
     347.39       2.383       3.666       2.291       0.825       0.000       0.000       9.164
     347.42       2.383       3.666       2.291       0.825       0.000       0.000       9.165
     349.85       2.404       3.698       2.311       0.832       0.000       0.000       9.245
     350.00       2.405       3.700       2.313       0.833       0.000       0.000       9.250
     353.86       2.437       3.749       2.343       0.844       0.000       0.000       9.374
     356.01       2.455       3.777       2.361       0.850       0.000       0.000       9.442
     356.07       2.456       3.778       2.361       0.850       0.000       0.000       9.444
     360.00       2.488       3.828       2.392       0.861       0.000       0.000       9.570
     360.76       2.495       3.838       2.399       0.864       0.000       0.000       9.595
     360.80       2.495       3.839       2.399       0.864       0.000       0.000       9.596
     364.48       2.527       3.887       2.429       0.875       0.000       0.000       9.718
     364.80       2.529       3.891       2.432       0.876       0.000       0.000       9.728
     368.07       2.557       3.935       2.459       0.787       0.000       0.000       9.836
     370.00       2.574       3.966       2.475       0.786       0.000       0.000       9.900
     374.74       2.587       4.000       2.487       0.776       0.000       0.000       9.950
     380.00       2.652       4.116       2.550       0.780       0.000       0.000      10.200
     390.00       2.730       4.268       2.625       0.772       0.000       0.000      10.500
     399.82       3.062       4.822       2.944       0.831       0.000       0.000      11.777
     400.00       3.068       4.832       2.950       0.832       0.000       0.000      11.800
     401.14       3.044       4.799       2.927       0.822       0.000       0.000      11.709
     401.70       3.033       4.782       2.916       0.816       0.000       0.000      11.664
     401.94       3.028       4.774       2.911       0.815       0.000       0.000      11.645
     403.26       3.000       4.731       2.885       0.808       0.000       0.000      11.539
     405.00       2.964       4.674       2.850       0.798       0.000       0.000      11.400
     406.00       2.943       4.641       2.943       0.792       0.000       0.000      11.320
     407.00       2.922       4.608       2.922       0.787       0.000       0.000      11.240
     408.00       2.902       4.576       2.902       0.781       0.000       0.000      11.160
     409.00       2.881       4.543       2.881       0.776       0.000       0.000      11.080
     410.00       2.860       4.510       2.860       0.770       0.000       0.000      11.000
     411.00       2.867       4.411       2.867       0.772       0.000       0.000      11.028
     412.00       2.875       4.533       2.875       0.774       0.000       0.000      11.057
     413.00       2.882       4.545       2.882       0.776       0.000       0.000      11.085
     414.00       2.889       4.556       2.889       0.778       0.000       0.000      11.113
     415.00       2.897       4.568       2.897       0.780       0.000       0.000      11.142
     416.00       2.904       4.580       2.904       0.782       0.000       0.000      11.170
     417.00       2.913       4.593       2.913       0.784       0.000       0.000      11.203
     417.24       2.915       4.596       2.915       0.785       0.000       0.000      11.210
     417.71       2.919       4.602       2.919       0.786       0.000       0.000      11.226
     418.00       2.921       4.606       2.921       0.786       0.000       0.000      11.235
     419.00       2.930       4.732       2.930       0.789       0.000       0.000      11.267
     420.00       2.938       4.633       2.938       0.791       0.000       0.000      11.300
     421.00       2.943       4.641       2.943       0.792       0.000       0.000      11.320
     422.00       2.948       4.763       2.948       0.794       0.000       0.000      11.340
     423.00       2.954       4.771       2.954       0.795       0.000       0.000      11.360
     424.00       2.959       4.780       2.959       0.797       0.000       0.000      11.380
     425.00       2.964       4.788       2.964       0.798       0.000       0.000      11.400
     426.00       2.969       4.796       2.969       0.799       0.000       0.000      11.420
     427.00       2.974       4.805       2.974       0.801       0.000       0.000      11.440
     428.00       2.980       4.813       2.980       0.688       0.000       0.000      11.460
     429.00       2.985       4.822       2.985       0.689       0.000       0.000      11.480
     430.00       2.990       4.830       2.990       0.690       0.000       0.000      11.500
     430.47       2.988       4.826       2.988       0.689       0.000       0.000      11.492
     430.50       2.988       4.826       2.988       0.689       0.000       0.000      11.491
     431.00       2.985       4.822       2.985       0.689       0.000       0.000      11.482
     432.00       2.981       4.815       2.981       0.688       0.000       0.000      11.464
     433.00       2.976       4.807       2.976       0.687       0.000       0.000      11.446
     434.00       2.971       4.800       2.971       0.686       0.000       0.000      11.428
     435.00       2.967       4.792       2.967       0.685       0.000       0.000      11.410
     436.00       3.190       5.126       3.076       0.000       0.000       0.000      11.392
     436.10       3.189       5.126       3.075       0.000       0.000       0.000      11.390
     436.67       3.186       5.121       3.073       0.000       0.000       0.000      11.380
     436.70       3.188       5.123       3.074       0.000       0.000       0.000      11.385
     437.00       3.201       5.145       3.087       0.000       0.000       0.000      11.433
     438.00       3.247       5.218       3.131       0.000       0.000       0.000      11.595
     439.00       3.292       5.291       3.174       0.000       0.000       0.000      11.757
     440.00       3.337       5.364       3.218       0.000       0.000       0.000      11.919
     440.50       3.360       5.400       3.240       0.000       0.000       0.000      12.000
     441.00       3.274       5.262       3.157       0.000       0.000       0.000      11.694
     442.00       3.103       4.987       2.992       0.000       0.000       0.000      11.083
     442.30       3.052       4.905       2.943       0.000       0.000       0.000      10.900
     442.70       3.612       5.805       3.483       0.000       0.000       0.000      12.900
     443.00       3.491       5.610       3.366       0.000       0.000       0.000      12.467
     443.60       3.248       5.220       3.132       0.000       0.000       0.000      11.600
     444.00       3.211       5.160       3.096       0.000       0.000       0.000      11.467
     445.00       3.117       5.010       3.006       0.000       0.000       0.000      11.133
     445.10       3.108       4.995       2.997       0.000       0.000       0.000      11.100
     446.00       2.971       4.774       2.864       0.000       0.000       0.000      10.609
     446.20       2.940       4.725       2.835       0.000       0.000       0.000      10.500
     446.70       3.920       6.300       3.780       0.000       0.000       0.000      14.000
     447.00       3.743       6.015       3.609       0.000       0.000       0.000      13.367
     447.60       3.388       5.445       3.267       0.000       0.000       0.000      12.100
     448.00       3.276       5.265       3.159       0.000       0.000       0.000      11.700
     448.60       3.108       4.995       2.997       0.000       0.000       0.000      11.100
     449.00       3.122       5.017       3.010       0.000       0.000       0.000      11.150
     450.00       3.157       5.074       3.044       0.000       0.000       0.000      11.275
     450.20       3.164       5.085       3.051       0.000       0.000       0.000      11.300
     451.00       3.136       5.040       3.024       0.000       0.000       0.000      11.200
     452.00       3.101       4.984       2.990       0.000       0.000       0.000      11.075
     452.60       3.080       4.950       2.970       0.000       0.000       0.000      11.000
     453.00       3.014       4.844       2.906       0.000       0.000       0.000      10.765
     454.00       2.849       4.579       2.748       0.000       0.000       0.000      10.176
     454.30       2.800       4.470       2.700       0.000       0.000       0.000      10.000
     454.70       3.080       4.873       2.970       0.000       0.000       0.000      11.000
     455.00       3.572       5.613       3.444       0.000       0.000       0.000      12.757
     455.40       4.228       6.704       4.077       0.000       0.000       0.000      15.100
     456.00       3.877       6.230       3.738       0.000       0.000       0.000      13.845
     456.50       3.520       5.760       3.456       0.000       0.000       0.000      12.800
     457.00       3.406       5.677       3.406       0.000       0.000       0.000      12.615
     458.00       3.306       5.510       3.306       0.000       0.000       0.000      12.244
     459.00       3.206       5.343       3.206       0.000       0.000       0.000      11.874
     459.20       3.210       5.310       3.186       0.000       0.000       0.000      11.800
     460.00       3.309       5.318       3.191       0.000       0.000       0.000      11.817
     461.00       3.315       5.327       3.196       0.000       0.000       0.000      11.839
     462.00       3.321       5.337       3.202       0.000       0.000       0.000      11.860
     463.00       3.327       5.347       3.208       0.000       0.000       0.000      11.881
     464.00       3.333       5.356       3.214       0.000       0.000       0.000      11.903
     465.00       3.339       5.366       3.220       0.000       0.000       0.000      11.924
     465.22       3.340       5.368       3.221       0.000       0.000       0.000      11.929
     466.00       3.345       5.376       3.225       0.000       0.000       0.000      11.946
     467.00       3.351       5.385       3.231       0.000       0.000       0.000      11.967
     468.00       3.357       5.395       3.237       0.000       0.000       0.000      11.989
     469.00       3.363       5.405       3.243       0.000       0.000       0.000      12.010
     469.80       3.368       5.412       3.247       0.000       0.000       0.000      12.027
     470.00       3.369       5.414       3.248       0.000       0.000       0.000      12.031
     471.00       3.375       5.424       3.254       0.000       0.000       0.000      12.053
     472.00       3.381       5.433       3.260       0.000       0.000       0.000      12.074
     473.00       3.387       5.443       3.266       0.000       0.000       0.000      12.096
     473.20       3.388       5.445       3.267       0.000       0.000       0.000      12.100
     473.80       3.360       5.400       3.240       0.000       0.000       0.000      12.000
     474.00       3.351       5.385       3.231       0.000       0.000       0.000      11.967
     475.00       3.304       5.310       3.186       0.000       0.000       0.000      11.800
     475.90       3.220       5.175       3.105       0.000       0.000       0.000      11.500
     476.00       3.209       5.157       3.094       0.000       0.000       0.000      11.460
     476.40       3.164       5.085       3.051       0.000       0.000       0.000      11.300
     477.00       3.252       5.226       3.136       0.000       0.000       0.000      11.614
     478.00       3.399       5.462       3.277       0.000       0.000       0.000      12.138
     478.50       3.472       5.580       3.348       0.000       0.000       0.000      12.400
     479.00       3.453       5.550       3.330       0.000       0.000       0.000      12.333
     480.00       3.416       5.490       3.294       0.000       0.000       0.000      12.200
     480.80       4.508       7.245       4.347       0.000       0.000       0.000      16.100
     481.00       4.359       7.005       4.203       0.000       0.000       0.000      15.567
     481.70       3.836       6.165       3.699       0.000       0.000       0.000      13.700
     482.00       3.780       6.075       3.645       0.000       0.000       0.000      13.500
     482.10       3.761       6.045       3.627       0.000       0.000       0.000      13.433
     482.60       3.668       5.895       3.537       0.000       0.000       0.000      13.100
     483.00       3.652       5.869       3.522       0.000       0.000       0.000      13.043
     483.30       3.640       5.850       3.510       0.000       0.000       0.000      13.000
     484.00       3.626       5.827       3.497       0.000       0.000       0.000      12.950
     484.70       3.612       5.805       3.483       0.000       0.000       0.000      12.900
     485.00       3.601       5.787       3.472       0.000       0.000       0.000      12.861
     486.00       3.564       5.728       3.437       0.000       0.000       0.000      12.729
     486.60       3.542       5.692       3.415       0.000       0.000       0.000      12.650
     487.00       3.521       5.658       3.395       0.000       0.000       0.000      12.574
     488.00       3.467       5.572       3.343       0.000       0.000       0.000      12.382
     489.00       3.414       5.486       3.292       0.000       0.000       0.000      12.191
     489.50       3.387       5.443       3.266       0.000       0.000       0.000      12.096
     490.00       3.360       5.400       3.240       0.000       0.000       0.000      12.000
     491.00       3.404       5.471       3.283       0.000       0.000       0.000      12.159
     491.70       3.436       5.522       3.313       0.000       0.000       0.000      12.270
     492.00       3.432       5.515       3.309       0.000       0.000       0.000      12.257
     493.00       3.419       5.495       3.297       0.000       0.000       0.000      12.212
     494.00       3.407       5.475       3.285       0.000       0.000       0.000      12.167
     495.00       3.394       5.455       3.273       0.000       0.000       0.000      12.123
     496.00       3.382       5.435       3.261       0.000       0.000       0.000      12.078
     497.00       3.369       5.415       3.249       0.000       0.000       0.000      12.034
     498.00       3.357       5.395       3.237       0.000       0.000       0.000      11.989
     499.00       3.344       5.375       3.225       0.000       0.000       0.000      11.945
     499.27       3.341       5.370       3.222       0.000       0.000       0.000      11.933
     499.37       3.340       5.368       3.221       0.000       0.000       0.000      11.928
     500.00       3.332       5.355       3.213       0.000       0.000       0.000      11.900
     501.00       3.296       5.298       3.179       0.000       0.000       0.000      11.773
     501.10       3.293       5.292       3.175       0.000       0.000       0.000      11.760
     502.00       3.297       5.298       3.179       0.000       0.000       0.000      11.774
     503.00       3.301       5.305       3.183       0.000       0.000       0.000      11.790
     504.00       3.306       5.313       3.188       0.000       0.000       0.000      11.806
     505.00       3.310       5.320       3.192       0.000       0.000       0.000      11.821
     507.90       3.323       5.340       3.204       0.000       0.000       0.000      11.867
     507.93       3.323       5.340       3.204       0.000       0.000       0.000      11.867
     510.00       3.332       5.355       3.213       0.000       0.000       0.000      11.900
     515.60       3.348       5.380       3.228       0.000       0.000       0.000      11.956
     520.00       3.360       5.400       3.240       0.000       0.000       0.000      12.000
     520.66       3.362       5.403       3.242       0.000       0.000       0.000      12.007
     521.10       3.363       5.405       3.243       0.000       0.000       0.000      12.011
     525.80       3.376       5.426       3.256       0.000       0.000       0.000      12.058
     530.00       3.433       5.445       3.222       0.000       0.000       0.000      12.100
     537.02       3.550       5.508       3.183       0.000       0.000       0.000      12.240
     537.03       3.550       5.508       3.183       0.000       0.000       0.000      12.241
     540.00       3.567       5.535       3.198       0.000       0.000       0.000      12.300
     542.80       3.583       5.560       3.213       0.000       0.000       0.000      12.356
     544.70       3.594       5.577       3.222       0.000       0.000       0.000      12.394
     548.90       3.619       5.615       3.244       0.000       0.000       0.000      12.478
     550.00       3.625       5.625       3.250       0.000       0.000       0.000      12.500
     551.40       3.633       5.638       3.257       0.000       0.000       0.000      12.528
     554.37       3.650       5.664       3.273       0.000       0.000       0.000      12.587
     554.51       3.651       5.666       3.273       0.000       0.000       0.000      12.590
     555.60       3.657       5.675       3.279       0.000       0.000       0.000      12.612
     558.60       3.675       5.702       3.295       0.000       0.000       0.000      12.672
     560.00       3.683       5.715       3.302       0.000       0.000       0.000      12.700
     562.80       3.699       5.740       3.317       0.000       0.000       0.000      12.756
     565.00       3.712       5.760       3.328       0.000       0.000       0.000      12.800
     568.50       3.732       5.791       3.346       0.000       0.000       0.000      12.870
     570.00       3.741       5.805       3.354       0.000       0.000       0.000      12.900
     572.30       3.748       5.815       3.360       0.000       0.000       0.000      12.923
     575.00       3.755       5.782       3.412       0.000       0.000       0.000      12.950
     580.00       3.770       5.720       3.510       0.000       0.000       0.000      13.000
     580.40       3.785       5.750       3.473       0.000       0.000       0.000      13.008
     584.00       3.924       6.017       3.139       0.000       0.000       0.000      13.080
     584.33       3.915       6.020       3.152       0.000       0.000       0.000      13.087
     585.00       3.897       6.026       3.177       0.000       0.000       0.000      13.100
     585.80       3.876       6.033       3.207       0.000       0.000       0.000      13.116
     588.90       3.792       6.062       3.324       0.000       0.000       0.000      13.178
     590.00       3.762       6.072       3.366       0.000       0.000       0.000      13.200
     592.40       3.689       6.083       3.451       0.000       0.000       0.000      13.224
     594.10       3.638       6.091       3.512       0.000       0.000       0.000      13.241
     595.00       3.611       6.095       3.544       0.000       0.000       0.000      13.250
     596.70       3.559       6.103       3.605       0.000       0.000       0.000      13.267
     599.60       3.470       6.116       3.710       0.000       0.000       0.000      13.296
     600.00       3.458       6.118       3.724       0.000       0.000       0.000      13.300
     604.30       3.527       6.138       3.679       0.000       0.000       0.000      13.343
     608.00       3.586       6.155       3.639       0.000       0.000       0.000      13.380
     608.40       3.592       6.157       3.635       0.000       0.000       0.000      13.384
     608.90       3.600       6.159       3.630       0.000       0.000       0.000      13.389
     609.00       3.602       6.159       3.629       0.000       0.000       0.000      13.390
     609.70       3.613       6.163       3.621       0.000       0.000       0.000      13.397
     609.76       3.614       6.163       3.621       0.000       0.000       0.000      13.398
     609.80       3.615       6.163       3.620       0.000       0.000       0.000      13.398
     610.00       3.618       6.164       3.618       0.000       0.000       0.000      13.400
     610.70       3.627       6.164       3.609       0.000       0.000       0.000      13.400
     610.80       3.629       6.164       3.607       0.000       0.000       0.000      13.400
     610.90       3.630       6.164       3.606       0.000       0.000       0.000      13.400
     611.00       3.631       6.164       3.605       0.000       0.000       0.000      13.400
     612.00       3.645       6.164       3.591       0.000       0.000       0.000      13.400
     612.40       3.650       6.164       3.586       0.000       0.000       0.000      13.400
     612.70       3.654       6.164       3.582       0.000       0.000       0.000      13.400
     613.00       3.658       6.164       3.578       0.000       0.000       0.000      13.400
     613.10       3.660       6.164       3.576       0.000       0.000       0.000      13.400
     614.00       3.672       6.164       3.564       0.000       0.000       0.000      13.400
     615.00       3.685       6.164       3.551       0.000       0.000       0.000      13.400
     615.20       3.688       6.164       3.548       0.000       0.000       0.000      13.400
     616.00       3.698       6.164       3.538       0.000       0.000       0.000      13.400
     616.30       3.702       6.164       3.534       0.000       0.000       0.000      13.400
     616.60       3.706       6.164       3.530       0.000       0.000       0.000      13.400
     616.90       3.710       6.164       3.526       0.000       0.000       0.000      13.400
     617.00       3.712       6.164       3.524       0.000       0.000       0.000      13.400
     617.10       3.713       6.164       3.523       0.000       0.000       0.000      13.400
     617.70       3.721       6.164       3.515       0.000       0.000       0.000      13.400
     618.00       3.725       6.164       3.511       0.000       0.000       0.000      13.400
     618.20       3.728       6.164       3.508       0.000       0.000       0.000      13.400
     618.70       3.735       6.164       3.501       0.000       0.000       0.000      13.400
     618.80       3.736       6.164       3.500       0.000       0.000       0.000      13.400
     618.90       3.737       6.164       3.499       0.000       0.000       0.000      13.400
     619.00       3.739       6.164       3.497       0.000       0.000       0.000      13.400
     619.80       3.749       6.164       3.487       0.000       0.000       0.000      13.400
     620.00       3.752       6.164       3.484       0.000       0.000       0.000      13.400
     620.50       3.759       6.171       3.471       0.000       0.000       0.000      13.400
     621.00       3.765       6.177       3.457       0.000       0.000       0.000      13.400
     621.90       3.777       6.189       3.433       0.000       0.000       0.000      13.400
     622.00       3.779       6.191       3.430       0.000       0.000       0.000      13.400
     623.00       3.792       6.204       3.404       0.000       0.000       0.000      13.400
     623.10       3.794       6.206       3.401       0.000       0.000       0.000      13.400
     624.00       3.806       6.218       3.377       0.000       0.000       0.000      13.400
     624.10       3.807       6.219       3.374       0.000       0.000       0.000      13.400
     624.50       3.812       6.224       3.363       0.000       0.000       0.000      13.400
     624.60       3.814       6.226       3.361       0.000       0.000       0.000      13.400
     624.93       3.818       6.230       3.352       0.000       0.000       0.000      13.400
     625.00       3.819       6.231       3.350       0.000       0.000       0.000      13.400
     625.10       3.820       6.232       3.347       0.000       0.000       0.000      13.400
     625.90       3.831       6.243       3.326       0.000       0.000       0.000      13.400
     626.00       3.832       6.244       3.323       0.000       0.000       0.000      13.400
     626.60       3.840       6.252       3.307       0.000       0.000       0.000      13.400
     627.00       3.846       6.258       3.296       0.000       0.000       0.000      13.400
     627.10       3.847       6.259       3.294       0.000       0.000       0.000      13.400
     628.00       3.859       6.271       3.270       0.000       0.000       0.000      13.400
     629.00       3.873       6.285       3.243       0.000       0.000       0.000      13.400
     629.60       3.881       6.293       3.227       0.000       0.000       0.000      13.400
     629.70       3.882       6.294       3.224       0.000       0.000       0.000      13.400
     629.73       3.882       6.294       3.223       0.000       0.000       0.000      13.400
     630.00       3.886       6.298       3.216       0.000       0.000       0.000      13.400
     630.30       3.953       6.289       3.155       0.000       0.000       0.000      13.397
     631.00       4.111       6.267       3.013       0.000       0.000       0.000      13.390
     631.60       4.245       6.248       2.891       0.000       0.000       0.000      13.384
     632.00       4.335       6.235       2.810       0.000       0.000       0.000      13.380
     633.00       4.559       6.204       2.607       0.000       0.000       0.000      13.370
     634.00       4.783       6.172       2.405       0.000       0.000       0.000      13.360
     634.40       4.872       6.160       2.324       0.000       0.000       0.000      13.356
     634.70       4.939       6.150       2.263       0.000       0.000       0.000      13.353
     635.00       5.006       6.141       2.203       0.000       0.000       0.000      13.350
     635.80       5.185       6.116       2.041       0.000       0.000       0.000      13.342
     636.00       5.229       6.110       2.001       0.000       0.000       0.000      13.340
     636.30       5.296       6.100       1.941       0.000       0.000       0.000      13.337
     637.00       5.452       6.078       1.800       0.000       0.000       0.000      13.330
     637.30       5.519       6.069       1.739       0.000       0.000       0.000      13.327
     638.00       5.674       6.047       1.598       0.000       0.000       0.000      13.320
     638.10       5.697       6.044       1.578       0.000       0.000       0.000      13.319
     638.50       5.785       6.032       1.498       0.000       0.000       0.000      13.315
     638.70       5.830       6.025       1.458       0.000       0.000       0.000      13.313
     639.00       5.896       6.016       1.398       0.000       0.000       0.000      13.310
     640.00       6.118       5.985       1.197       0.000       0.000       0.000      13.300
     640.41       6.014       5.974       1.299       0.000       0.000       0.000      13.288
     640.93       5.883       5.960       1.429       0.000       0.000       0.000      13.272
     641.00       5.865       5.958       1.446       0.000       0.000       0.000      13.270
     641.81       5.661       5.937       1.648       0.000       0.000       0.000      13.246
     642.00       5.614       5.932       1.695       0.000       0.000       0.000      13.240
     642.50       5.488       5.918       1.818       0.000       0.000       0.000      13.225
     643.00       5.363       5.905       1.942       0.000       0.000       0.000      13.210
     644.00       5.114       5.878       2.188       0.000       0.000       0.000      13.180
     644.10       5.089       5.876       2.212       0.000       0.000       0.000      13.177
     644.20       5.064       5.873       2.237       0.000       0.000       0.000      13.174
     644.40       5.014       5.868       2.286       0.000       0.000       0.000      13.168
     645.00       4.866       5.852       2.433       0.000       0.000       0.000      13.150
     645.90       4.643       5.828       2.652       0.000       0.000       0.000      13.123
     646.00       4.618       5.825       2.676       0.000       0.000       0.000      13.120
     646.60       4.470       5.809       2.822       0.000       0.000       0.000      13.102
     646.70       4.446       5.807       2.846       0.000       0.000       0.000      13.099
     647.00       4.372       5.799       2.919       0.000       0.000       0.000      13.090
     647.50       4.249       5.786       3.040       0.000       0.000       0.000      13.075
     648.00       4.127       5.773       3.161       0.000       0.000       0.000      13.060
     649.00       3.883       5.746       3.401       0.000       0.000       0.000      13.030
     649.40       3.786       5.736       3.497       0.000       0.000       0.000      13.018
     650.00       3.640       5.720       3.640       0.000       0.000       0.000      13.000
     650.30       3.629       5.719       3.641       0.000       0.000       0.000      12.988
     651.00       3.603       5.715       3.642       0.000       0.000       0.000      12.960
     651.80       3.573       5.712       3.643       0.000       0.000       0.000      12.928
     652.00       3.566       5.711       3.643       0.000       0.000       0.000      12.920
     653.00       3.529       5.706       3.645       0.000       0.000       0.000      12.880
     654.00       3.492       5.701       3.647       0.000       0.000       0.000      12.840
     655.00       3.456       5.696       3.648       0.000       0.000       0.000      12.800
     656.00       3.420       5.691       3.649       0.000       0.000       0.000      12.760
     657.00       3.384       5.686       3.651       0.000       0.000       0.000      12.720
     657.30       3.373       5.684       3.651       0.000       0.000       0.000      12.708
     658.00       3.348       5.681       3.652       0.000       0.000       0.000      12.680
     659.00       3.312       5.675       3.653       0.000       0.000       0.000      12.640
     660.00       3.276       5.670       3.654       0.000       0.000       0.000      12.600
     660.30       3.312       5.647       3.599       0.000       0.000       0.000      12.566
     661.00       3.396       5.594       3.471       0.000       0.000       0.000      12.487
     661.40       3.444       5.564       3.399       0.000       0.000       0.000      12.442
     661.90       3.502       5.526       3.309       0.000       0.000       0.000      12.385
     662.00       3.514       5.519       3.291       0.000       0.000       0.000      12.374
     663.00       3.629       5.444       3.114       0.000       0.000       0.000      12.260
     664.00       3.741       5.369       2.940       0.000       0.000       0.000      12.147
     664.60       3.807       5.325       2.836       0.000       0.000       0.000      12.079
     664.90       3.840       5.302       2.785       0.000       0.000       0.000      12.045
     665.00       3.851       5.295       2.768       0.000       0.000       0.000      12.034
     665.30       4.164       5.784       1.932       0.000       0.000       0.000      12.000
     665.80       4.672       6.579       0.548       0.000       0.000       0.000      11.918
     666.00       4.873       6.893       0.000       0.000       0.000       0.000      11.885
     667.00       4.768       6.846       0.000       0.000       0.000       0.000      11.721
     667.30       4.736       6.832       0.000       0.000       0.000       0.000      11.672
     668.00       4.663       6.797       0.000       0.000       0.000       0.000      11.557
     669.00       4.560       6.747       0.000       0.000       0.000       0.000      11.393
     669.60       4.499       6.716       0.000       0.000       0.000       0.000      11.295
     670.00       4.458       6.696       0.000       0.000       0.000       0.000      11.230
     670.40       4.417       6.675       0.000       0.000       0.000       0.000      11.164
     670.50       4.407       6.669       0.000       0.000       0.000       0.000      11.148
     671.00       4.357       6.643       0.000       0.000       0.000       0.000      11.066
     671.50       4.307       6.616       0.000       0.000       0.000       0.000      10.984
     671.90       4.267       6.594       0.000       0.000       0.000       0.000      10.918
     672.00       4.257       6.589       0.000       0.000       0.000       0.000      10.902
     672.90       4.168       6.539       0.000       0.000       0.000       0.000      10.754
     673.00       4.158       6.533       0.000       0.000       0.000       0.000      10.738
     673.60       4.099       6.500       0.000       0.000       0.000       0.000      10.639
     673.80       4.080       6.488       0.000       0.000       0.000       0.000      10.607
     674.00       4.060       6.477       0.000       0.000       0.000       0.000      10.574
     674.40       4.021       6.454       0.000       0.000       0.000       0.000      10.508
     675.00       3.963       6.419       0.000       0.000       0.000       0.000      10.410
     675.20       3.944       6.407       0.000       0.000       0.000       0.000      10.377
     675.70       3.896       6.377       0.000       0.000       0.000       0.000      10.295
     676.00       3.868       6.359       0.000       0.000       0.000       0.000      10.246
     676.20       3.849       6.347       0.000       0.000       0.000       0.000      10.213
     676.60       3.811       6.323       0.000       0.000       0.000       0.000      10.148
     677.00       3.773       6.298       0.000       0.000       0.000       0.000      10.082
     677.50       3.726       6.267       0.000       0.000       0.000       0.000      10.000
     677.90       3.824       6.472       0.000       0.000       0.000       0.000      10.300
     678.00       3.849       6.524       0.000       0.000       0.000       0.000      10.375
     678.30       3.922       6.678       0.000       0.000       0.000       0.000      10.600
     678.80       3.960       8.040       0.000       0.000       0.000       0.000      12.000
     679.00       5.477      12.190       0.000       0.000       0.000       0.000      17.667
     679.10       6.150      14.350       0.000       0.000       0.000       0.000      20.500
     679.20       4.466      10.934       0.000       0.000       0.000       0.000      15.400
     679.90       4.432      10.093       0.000       0.000       0.000       0.000      14.525
     680.00       4.424       9.976       0.000       0.000       0.000       0.000      14.400
     680.20       4.409       9.741       0.000       0.000       0.000       0.000      14.150
     680.40       4.391       9.509       0.000       0.000       0.000       0.000      13.900
     680.70       4.606       9.684       0.000       0.000       0.000       0.000      14.290
     681.00       4.827       9.853       0.000       0.000       0.000       0.000      14.680
     681.10       4.902       9.908       0.000       0.000       0.000       0.000      14.810
     681.30       5.053      10.017       0.000       0.000       0.000       0.000      15.070
     681.40       5.129      10.071       0.000       0.000       0.000       0.000      15.200
     681.60       4.926       9.487       0.000       0.000       0.000       0.000      14.413
     681.70       4.822       9.198       0.000       0.000       0.000       0.000      14.019
     682.00       4.499       8.340       0.000       0.000       0.000       0.000      12.839
     682.30       4.160       7.498       0.000       0.000       0.000       0.000      11.658
     682.80       3.562       6.128       0.000       0.000       0.000       0.000       9.690
     683.00       3.589       6.061       0.000       0.000       0.000       0.000       9.650
     683.30       3.601       5.915       0.000       0.000       0.000       0.000       9.517
     683.80       3.618       5.677       0.000       0.000       0.000       0.000       9.294
     683.90       3.620       5.630       0.000       0.000       0.000       0.000       9.250
     684.00       3.684       5.678       0.000       0.000       0.000       0.000       9.362
     684.30       3.880       5.820       0.000       0.000       0.000       0.000       9.700
     684.50       3.917       6.283       0.000       0.000       0.000       0.000      10.200
     684.80       4.032       7.168       0.000       0.000       0.000       0.000      11.200
     684.90       4.578       8.548       0.000       0.000       0.000       0.000      13.126
     685.00       5.079       9.971       0.000       0.000       0.000       0.000      15.050
