Photoabsorption and Partial Photoionization Cross Sections for Molecular Nitrogen
   LAM     ABS    ION   FRAG    N2+    X      A      B      C      F     G+E     HP     H    N2++    K
 203.81  6.490  6.490  2.444  4.045  1.461  2.002  0.582  0.057  0.343  0.251  1.227  0.081  0.484  0.000
 204.25  6.523  6.523  2.457  4.065  1.468  2.012  0.585  0.057  0.342  0.253  1.227  0.089  0.490  0.000
 204.94  6.575  6.575  2.478  4.097  1.480  2.028  0.589  0.057  0.340  0.254  1.227  0.100  0.500  0.000
 206.26  6.683  6.683  2.520  4.163  1.503  2.061  0.599  0.057  0.336  0.258  1.228  0.122  0.521  0.000
 206.38  6.693  6.693  2.524  4.169  1.506  2.064  0.600  0.057  0.335  0.259  1.228  0.124  0.522  0.000
 207.46  6.782  6.782  2.559  4.223  1.525  2.090  0.608  0.058  0.336  0.264  1.239  0.134  0.528  0.000
 208.33  6.853  6.853  2.587  4.266  1.541  2.112  0.614  0.060  0.341  0.270  1.258  0.136  0.522  0.000
 209.63  6.960  6.960  2.628  4.332  1.564  2.144  0.623  0.063  0.349  0.279  1.288  0.137  0.513  0.000
 209.78  6.972  6.972  2.633  4.339  1.567  2.148  0.624  0.063  0.349  0.280  1.291  0.138  0.512  0.000
 211.32  7.098  7.098  2.688  4.411  1.593  2.183  0.635  0.067  0.359  0.291  1.329  0.140  0.501  0.000
 212.14  7.165  7.165  2.717  4.448  1.607  2.202  0.640  0.070  0.364  0.297  1.350  0.141  0.495  0.000
 213.78  7.300  7.300  2.776  4.524  1.634  2.239  0.651  0.074  0.375  0.310  1.392  0.144  0.482  0.000
 214.75  7.379  7.379  2.811  4.569  1.650  2.261  0.657  0.077  0.381  0.317  1.417  0.145  0.474  0.000
 215.16  7.414  7.414  2.826  4.588  1.657  2.271  0.660  0.078  0.383  0.321  1.428  0.146  0.470  0.000
 216.88  7.569  7.569  2.891  4.678  1.689  2.315  0.673  0.083  0.395  0.335  1.474  0.149  0.455  0.000
 218.19  7.687  7.687  2.941  4.746  1.714  2.349  0.683  0.087  0.404  0.346  1.510  0.151  0.443  0.000
 219.13  7.772  7.772  2.977  4.795  1.732  2.373  0.690  0.090  0.411  0.354  1.536  0.153  0.434  0.000
 220.08  7.857  7.857  3.013  4.844  1.749  2.398  0.697  0.093  0.417  0.362  1.563  0.154  0.424  0.000
 221.44  7.974  7.974  3.059  4.915  1.775  2.433  0.707  0.097  0.426  0.373  1.598  0.156  0.409  0.000
 221.82  8.007  8.007  3.072  4.935  1.782  2.443  0.710  0.098  0.428  0.376  1.608  0.157  0.405  0.000
 224.74  8.258  8.258  3.171  5.086  1.837  2.518  0.732  0.107  0.447  0.401  1.685  0.161  0.370  0.000
 225.12  8.290  8.290  3.184  5.106  1.844  2.528  0.735  0.108  0.451  0.401  1.698  0.161  0.366  0.000
 227.01  8.453  8.453  3.248  5.205  1.880  2.576  0.749  0.097  0.481  0.367  1.791  0.160  0.353  0.000
 227.19  8.468  8.468  3.254  5.214  1.883  2.581  0.750  0.096  0.484  0.363  1.800  0.160  0.352  0.000
 227.47  8.492  8.492  3.264  5.228  1.888  2.588  0.752  0.095  0.488  0.358  1.813  0.160  0.350  0.000
 228.70  8.598  8.598  3.306  5.292  1.911  2.620  0.761  0.101  0.496  0.378  1.831  0.155  0.344  0.000
 230.65  8.763  8.763  3.367  5.396  1.949  2.671  0.776  0.111  0.507  0.411  1.856  0.148  0.334  0.000
 231.55  8.837  8.837  3.390  5.447  1.967  2.696  0.784  0.115  0.512  0.425  1.865  0.145  0.328  0.000
 232.60  8.923  8.923  3.418  5.506  1.988  2.725  0.792  0.120  0.517  0.443  1.875  0.140  0.322  0.000
 233.84  9.025  9.025  3.450  5.575  2.013  2.760  0.802  0.127  0.524  0.463  1.887  0.135  0.314  0.000
 234.38  9.069  9.069  3.464  5.605  2.024  2.775  0.806  0.129  0.526  0.472  1.893  0.133  0.310  0.000
 237.12  9.281  9.281  3.527  5.754  2.078  2.848  0.828  0.143  0.539  0.517  1.915  0.122  0.291  0.000
 237.20  9.287  9.287  3.528  5.759  2.080  2.851  0.829  0.143  0.539  0.517  1.916  0.123  0.291  0.000
 237.33  9.297  9.297  3.531  5.766  2.082  2.854  0.830  0.143  0.539  0.517  1.918  0.124  0.291  0.000
 239.87  9.490  9.490  3.587  5.903  2.132  2.922  0.849  0.140  0.544  0.520  1.954  0.148  0.282  0.000
 240.71  9.543  9.543  3.596  5.947  2.148  2.944  0.856  0.139  0.544  0.519  1.960  0.156  0.278  0.000
 241.74  9.604  9.604  3.604  6.000  2.167  2.970  0.863  0.137  0.543  0.518  1.967  0.166  0.273  0.000
 243.03  9.682  9.682  3.614  6.068  2.191  3.003  0.873  0.135  0.543  0.517  1.975  0.178  0.267  0.000
 243.78  9.727  9.727  3.620  6.107  2.205  3.023  0.879  0.134  0.542  0.516  1.980  0.185  0.263  0.000
 244.92  9.795  9.795  3.629  6.166  2.227  3.052  0.887  0.132  0.542  0.515  1.988  0.195  0.258  0.000
 245.94  9.841  9.841  3.619  6.223  2.247  3.080  0.895  0.129  0.538  0.511  1.984  0.204  0.252  0.000
 246.21  9.853  9.853  3.615  6.238  2.253  3.088  0.897  0.129  0.537  0.510  1.983  0.206  0.250  0.000
 246.91  9.884  9.884  3.607  6.277  2.267  3.107  0.903  0.128  0.536  0.507  1.973  0.218  0.246  0.000
 247.18  9.896  9.896  3.604  6.292  2.272  3.115  0.905  0.127  0.536  0.506  1.967  0.223  0.244  0.000
 249.18  9.984  9.984  3.580  6.404  2.303  3.190  0.910  0.125  0.534  0.497  1.926  0.265  0.232  0.000
 251.10 10.055 10.055  3.548  6.507  2.325  3.274  0.908  0.123  0.531  0.488  1.882  0.304  0.220  0.000
 251.95 10.082 10.082  3.531  6.551  2.334  3.311  0.907  0.121  0.530  0.483  1.862  0.321  0.215  0.000
 252.19 10.090 10.090  3.526  6.564  2.337  3.321  0.906  0.121  0.529  0.482  1.856  0.326  0.213  0.000
 253.78 10.141 10.141  3.494  6.647  2.354  3.389  0.904  0.119  0.526  0.473  1.818  0.356  0.203  0.000
 256.32 10.206 10.206  3.422  6.784  2.384  3.500  0.901  0.115  0.517  0.457  1.746  0.402  0.186  0.000
 256.38 10.208 10.208  3.420  6.787  2.384  3.502  0.901  0.115  0.517  0.456  1.744  0.403  0.186  0.000
 256.64 10.213 10.213  3.411  6.802  2.387  3.514  0.901  0.114  0.516  0.454  1.736  0.407  0.184  0.000
 256.92 10.218 10.218  3.401  6.818  2.391  3.526  0.900  0.114  0.514  0.452  1.727  0.411  0.182  0.000
 257.16 10.223 10.223  3.392  6.831  2.394  3.537  0.900  0.113  0.513  0.451  1.720  0.415  0.180  0.000
 257.39 10.228 10.228  3.384  6.844  2.397  3.548  0.900  0.113  0.512  0.449  1.712  0.419  0.179  0.000
 258.36 10.247 10.247  3.349  6.898  2.408  3.592  0.898  0.112  0.508  0.441  1.687  0.430  0.171  0.000
 259.52 10.270 10.270  3.307  6.963  2.422  3.644  0.897  0.118  0.501  0.426  1.713  0.391  0.157  0.000
 261.05 10.305 10.305  3.271  7.034  2.435  3.706  0.893  0.130  0.518  0.430  1.660  0.381  0.151  0.000
 262.99 10.352 10.352  3.236  7.116  2.448  3.781  0.887  0.147  0.550  0.444  1.561  0.385  0.149  0.000
 264.24 10.382 10.382  3.214  7.168  2.452  3.833  0.883  0.157  0.570  0.454  1.498  0.387  0.148  0.000
 264.80 10.395 10.395  3.204  7.192  2.450  3.860  0.882  0.162  0.579  0.458  1.470  0.388  0.147  0.000
 270.51 10.511 10.511  3.047  7.464  2.450  4.146  0.869  0.118  0.562  0.471  1.421  0.357  0.117  0.000
 271.99 10.544 10.544  3.008  7.536  2.456  4.213  0.867  0.120  0.587  0.457  1.376  0.357  0.112  0.000
 272.64 10.558 10.558  2.991  7.567  2.459  4.243  0.866  0.121  0.599  0.450  1.353  0.358  0.110  0.000
 274.19 10.592 10.592  2.951  7.641  2.465  4.313  0.863  0.126  0.629  0.433  1.299  0.360  0.104  0.000
 275.35 10.622 10.622  2.928  7.694  2.468  4.365  0.861  0.200  0.664  0.430  1.129  0.395  0.110  0.000
 275.67 10.633 10.633  2.926  7.707  2.471  4.373  0.863  0.210  0.670  0.435  1.104  0.397  0.110  0.000
 276.15 10.649 10.649  2.923  7.726  2.477  4.379  0.870  0.212  0.672  0.448  1.091  0.391  0.109  0.000
 276.84 10.673 10.673  2.919  7.754  2.486  4.388  0.880  0.214  0.675  0.468  1.074  0.382  0.107  0.000
 277.01 10.678 10.678  2.918  7.760  2.489  4.390  0.882  0.215  0.675  0.473  1.069  0.380  0.106  0.000
 277.27 10.687 10.687  2.916  7.771  2.492  4.393  0.886  0.216  0.676  0.480  1.063  0.376  0.105  0.000
 278.40 10.726 10.726  2.910  7.816  2.507  4.406  0.902  0.220  0.681  0.512  1.034  0.362  0.102  0.000
 281.41 10.819 10.819  2.866  7.953  2.553  4.451  0.949  0.228  0.687  0.590  0.948  0.320  0.093  0.000
 284.15 10.896 10.896  2.800  8.096  2.601  4.503  0.993  0.233  0.735  0.590  0.872  0.291  0.081  0.000
 285.70 10.945 10.945  2.769  8.176  2.627  4.531  1.018  0.236  0.766  0.585  0.832  0.276  0.074  0.000
 289.17 11.070 11.070  2.713  8.357  2.685  4.599  1.073  0.243  0.840  0.577  0.749  0.244  0.060  0.000
 290.69 11.123 11.123  2.689  8.435  2.705  4.634  1.095  0.246  0.873  0.573  0.714  0.230  0.053  0.000
 291.70 11.158 11.158  2.673  8.485  2.719  4.656  1.110  0.247  0.894  0.571  0.691  0.221  0.049  0.000
 292.78 11.195 11.195  2.656  8.539  2.733  4.680  1.126  0.249  0.917  0.568  0.666  0.211  0.044  0.000
 296.19 11.325 11.325  2.613  8.712  2.771  4.771  1.170  0.256  0.992  0.559  0.594  0.181  0.030  0.000
 299.50 11.477 11.477  2.593  8.884  2.791  4.896  1.197  0.267  1.075  0.550  0.531  0.153  0.017  0.000
 303.31 11.674 11.674  2.546  9.128  2.829  5.064  1.235  0.278  1.150  0.534  0.458  0.121  0.005  0.000
 303.78 11.699 11.699  2.540  9.159  2.835  5.084  1.240  0.280  1.156  0.532  0.451  0.118  0.004  0.000
 315.02 12.371 12.371  2.450  9.922  3.040  5.377  1.504  0.323  1.307  0.478  0.294  0.049  0.000  0.000
 316.20 12.456 12.456  2.445 10.011  3.072  5.386  1.553  0.327  1.322  0.472  0.281  0.043  0.000  0.000
 319.01 12.659 12.659  2.434 10.225  3.140  5.473  1.612  0.337  1.358  0.459  0.251  0.030  0.000  0.000
 319.83 12.718 12.718  2.431 10.287  3.157  5.527  1.603  0.339  1.368  0.455  0.243  0.026  0.000  0.000
 320.56 12.775 12.775  2.432 10.343  3.172  5.576  1.595  0.341  1.379  0.452  0.236  0.024  0.000  0.000
 335.41 13.985 13.985  2.336 11.649  3.582  6.398  1.670  0.383  1.483  0.365  0.105  0.000  0.000  0.000
 345.13 14.832 14.832  2.116 12.716  4.077  6.949  1.690  0.415  1.390  0.270  0.042  0.000  0.000  0.000
 345.74 14.888 14.888  2.099 12.789  4.116  6.982  1.691  0.417  1.380  0.264  0.038  0.000  0.000  0.000
 347.39 15.040 15.040  2.053 12.987  4.222  7.072  1.693  0.421  1.353  0.249  0.030  0.000  0.000  0.000
 349.85 15.266 15.266  1.984 13.282  4.383  7.204  1.696  0.425  1.312  0.228  0.019  0.000  0.000  0.000
 356.01 15.821 15.821  1.860 13.961  4.781  7.484  1.696  0.446  1.229  0.184  0.000  0.000  0.000  0.000
 360.80 16.252 16.252  1.758 14.494  5.109  7.675  1.710  0.464  1.139  0.154  0.000  0.000  0.000  0.000
 364.48 16.583 16.583  1.655 14.929  5.377  7.830  1.722  0.467  1.057  0.131  0.000  0.000  0.000  0.000
 368.07 16.906 16.906  1.554 15.352  5.657  7.935  1.761  0.475  0.968  0.111  0.000  0.000  0.000  0.000
 399.82 20.052 20.052  1.071 18.980  8.457  8.720  1.803  0.641  0.409  0.021  0.000  0.000  0.000  0.000
 401.14 20.178 20.178  1.064 19.114  8.505  8.798  1.811  0.650  0.395  0.020  0.000  0.000  0.000  0.000
 401.94 20.254 20.254  1.060 19.194  8.530  8.848  1.817  0.656  0.386  0.019  0.000  0.000  0.000  0.000
 403.26 20.380 20.380  1.054 19.326  8.571  8.929  1.825  0.665  0.372  0.017  0.000  0.000  0.000  0.000
 417.24 21.621 21.621  0.897 20.724  9.121  9.682  1.921  0.679  0.216  0.003  0.000  0.000  0.000  0.000
 430.47 22.662 22.662  0.921 21.740  9.766  9.991  1.983  0.788  0.133  0.000  0.000  0.000  0.000  0.000
 436.70 22.948 22.948  0.940 22.008  9.910 10.121  1.977  0.851  0.089  0.000  0.000  0.000  0.000  0.000
 453.01 23.085 23.085  0.930 22.155  9.948 10.326  1.881  0.914  0.016  0.000  0.000  0.000  0.000  0.000
 454.01 23.080 23.080  0.940 22.140  9.936 10.332  1.872  0.926  0.014  0.000  0.000  0.000  0.000  0.000
 455.01 23.075 23.075  0.950 22.125  9.924 10.338  1.863  0.939  0.011  0.000  0.000  0.000  0.000  0.000
 456.01 23.070 23.070  0.960 22.110  9.912 10.343  1.854  0.951  0.009  0.000  0.000  0.000  0.000  0.000
 457.01 23.065 23.065  0.970 22.095  9.901 10.349  1.845  0.964  0.006  0.000  0.000  0.000  0.000  0.000
 458.01 23.060 23.060  0.980 22.080  9.889 10.355  1.836  0.977  0.003  0.000  0.000  0.000  0.000  0.000
 459.01 23.055 23.055  0.990 22.065  9.877 10.361  1.827  0.990  0.000  0.000  0.000  0.000  0.000  0.000
 460.01 23.050 23.050  1.000 22.050  9.887 10.444  1.719  1.000  0.000  0.000  0.000  0.000  0.000  0.000
 461.01 23.072 23.072  1.012 22.060  9.899 10.527  1.634  1.012  0.000  0.000  0.000  0.000  0.000  0.000
 462.01 23.094 23.094  1.024 22.070  9.883 10.549  1.639  1.024  0.000  0.000  0.000  0.000  0.000  0.000
 463.01 23.116 23.116  1.036 22.080  9.866 10.570  1.644  1.036  0.000  0.000  0.000  0.000  0.000  0.000
 464.01 23.138 23.138  1.048 22.090  9.850 10.591  1.649  1.048  0.000  0.000  0.000  0.000  0.000  0.000
 465.01 23.160 23.160  1.060 22.100  9.834 10.613  1.654  1.060  0.000  0.000  0.000  0.000  0.000  0.000
 465.22 23.165 23.165  1.063 22.102  9.830 10.617  1.655  1.063  0.000  0.000  0.000  0.000  0.000  0.000
 466.01 23.182 23.182  1.072 22.110  9.817 10.634  1.659  1.072  0.000  0.000  0.000  0.000  0.000  0.000
 467.01 23.204 23.204  1.084 22.120  9.801 10.655  1.664  1.084  0.000  0.000  0.000  0.000  0.000  0.000
 468.01 23.226 23.226  1.096 22.130  9.784 10.677  1.669  1.096  0.000  0.000  0.000  0.000  0.000  0.000
 469.01 23.248 23.248  1.108 22.140  9.768 10.698  1.674  1.108  0.000  0.000  0.000  0.000  0.000  0.000
 470.01 23.270 23.270  1.120 22.150  9.751 10.719  1.679  1.120  0.000  0.000  0.000  0.000  0.000  0.000
 471.01 23.303 23.303  1.133 22.170  9.739 10.746  1.685  1.133  0.000  0.000  0.000  0.000  0.000  0.000
 472.01 23.336 23.336  1.146 22.190  9.727 10.772  1.691  1.146  0.000  0.000  0.000  0.000  0.000  0.000
 473.01 23.369 23.369  1.159 22.210  9.715 10.798  1.697  1.159  0.000  0.000  0.000  0.000  0.000  0.000
 474.01 23.402 23.402  1.172 22.230  9.703 10.825  1.703  1.172  0.000  0.000  0.000  0.000  0.000  0.000
 475.01 23.435 23.435  1.185 22.250  9.691 10.851  1.709  1.185  0.000  0.000  0.000  0.000  0.000  0.000
 476.01 23.468 23.468  1.198 22.270  9.678 10.878  1.714  1.198  0.000  0.000  0.000  0.000  0.000  0.000
 477.01 23.501 23.501  1.211 22.290  9.666 10.904  1.720  1.211  0.000  0.000  0.000  0.000  0.000  0.000
 478.01 23.534 23.534  1.224 22.310  9.654 10.930  1.726  1.224  0.000  0.000  0.000  0.000  0.000  0.000
 479.01 23.567 23.567  1.237 22.330  9.641 10.957  1.732  1.237  0.000  0.000  0.000  0.000  0.000  0.000
 480.01 23.600 23.600  1.250 22.350  9.629 10.983  1.738  1.250  0.000  0.000  0.000  0.000  0.000  0.000
 481.01 23.590 23.590  1.215 22.375  9.618 11.013  1.744  1.215  0.000  0.000  0.000  0.000  0.000  0.000
 482.01 23.580 23.580  1.180 22.400  9.608 11.042  1.751  1.180  0.000  0.000  0.000  0.000  0.000  0.000
 483.01 23.570 23.570  1.145 22.425  9.598 11.071  1.757  1.145  0.000  0.000  0.000  0.000  0.000  0.000
 484.01 23.560 23.560  1.110 22.450  9.587 11.100  1.763  1.110  0.000  0.000  0.000  0.000  0.000  0.000
 485.01 23.550 23.550  1.075 22.475  9.577 11.129  1.770  1.075  0.000  0.000  0.000  0.000  0.000  0.000
 486.01 23.540 23.540  1.040 22.500  9.566 11.158  1.776  1.040  0.000  0.000  0.000  0.000  0.000  0.000
 487.01 23.530 23.530  1.005 22.525  9.555 11.187  1.782  1.005  0.000  0.000  0.000  0.000  0.000  0.000
 488.01 23.520 23.520  0.970 22.550  9.545 11.217  1.789  0.970  0.000  0.000  0.000  0.000  0.000  0.000
 489.01 23.510 23.510  0.935 22.575  9.534 11.246  1.795  0.935  0.000  0.000  0.000  0.000  0.000  0.000
 489.50 23.505 23.505  0.917 22.587  9.529 11.260  1.798  0.917  0.000  0.000  0.000  0.000  0.000  0.000
 490.01 23.500 23.500  0.899 22.601  9.523 11.276  1.802  0.899  0.000  0.000  0.000  0.000  0.000  0.000
 491.01 23.500 23.500  0.849 22.651  9.523 11.317  1.810  0.849  0.000  0.000  0.000  0.000  0.000  0.000
 492.01 23.500 23.500  0.799 22.701  9.523 11.359  1.818  0.799  0.000  0.000  0.000  0.000  0.000  0.000
 493.01 23.500 23.500  0.749 22.750  9.522 11.401  1.827  0.749  0.000  0.000  0.000  0.000  0.000  0.000
 494.01 23.500 23.500  0.699 22.801  9.522 11.444  1.835  0.699  0.000  0.000  0.000  0.000  0.000  0.000
 495.01 23.500 23.500  0.649 22.851  9.521 11.486  1.844  0.649  0.000  0.000  0.000  0.000  0.000  0.000
 496.01 23.500 23.500  0.589 22.911  9.524 11.533  1.853  0.589  0.000  0.000  0.000  0.000  0.000  0.000
 497.01 23.500 23.500  0.529 22.971  9.528 11.580  1.862  0.529  0.000  0.000  0.000  0.000  0.000  0.000
 498.01 23.500 23.500  0.469 23.031  9.531 11.628  1.872  0.469  0.000  0.000  0.000  0.000  0.000  0.000
 499.01 23.500 23.500  0.409 23.091  9.534 11.676  1.881  0.409  0.000  0.000  0.000  0.000  0.000  0.000
 499.37 23.500 23.500  0.388 23.112  9.535 11.693  1.885  0.388  0.000  0.000  0.000  0.000  0.000  0.000
 500.01 23.500 23.500  0.349 23.151  9.537 11.723  1.891  0.349  0.000  0.000  0.000  0.000  0.000  0.000
 501.01 23.516 23.516  0.295 23.221  9.544 11.776  1.901  0.295  0.000  0.000  0.000  0.000  0.000  0.000
 502.01 23.532 23.532  0.241 23.291  9.551 11.829  1.911  0.241  0.000  0.000  0.000  0.000  0.000  0.000
 503.01 23.548 23.548  0.187 23.361  9.557 11.882  1.921  0.187  0.000  0.000  0.000  0.000  0.000  0.000
 504.01 23.564 23.564  0.133 23.431  9.564 11.935  1.932  0.133  0.000  0.000  0.000  0.000  0.000  0.000
 507.93 23.726 23.726  0.051 23.676  9.576 12.129  1.970  0.051  0.000  0.000  0.000  0.000  0.000  0.000
 515.60 24.250 24.250  0.013 24.237  9.628 12.556  2.053  0.013  0.000  0.000  0.000  0.000  0.000  0.000
 520.66 24.612 24.612  0.000 24.612  9.659 12.844  2.109  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 525.80 24.864 24.864  0.000 24.864  9.656 12.980  2.229  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 537.02 25.231 25.231  0.000 25.231  9.588 13.095  2.548  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 542.80 25.132 25.132  0.000 25.132  9.339 13.384  2.409  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 550.01 24.699 24.699  0.000 24.699  8.785 13.292  2.622  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 554.37 24.132 24.132  0.000 24.132  8.351 13.069  2.712  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 558.60 23.582 23.582  0.000 23.582  8.290 12.805  2.487  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 562.80 23.148 23.148  0.000 23.148  8.225 12.670  2.253  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 568.50 22.635 22.635  0.000 22.635  7.908 12.606  2.121  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 572.30 22.477 22.477  0.000 22.477  7.764 12.662  2.051  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 580.40 22.400 22.400  0.000 22.400  7.656 12.445  2.298  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 584.33 22.400 22.400  0.000 22.400  8.175 12.186  2.039  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 592.40 22.443 22.443  0.000 22.443  7.542 12.751  2.151  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 599.60 22.573 22.573  0.000 22.573  7.088 13.191  2.293  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 609.76 22.795 22.795  0.000 22.795  6.795 13.368  2.631  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 616.60 22.998 22.998  0.000 22.998  6.867 13.441  2.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 624.93 23.238 23.238  0.000 23.238  7.148 13.465  2.625  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 629.73 23.372 23.372  0.000 23.372  7.311 13.475  2.586  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 638.50 23.618 23.618  0.000 23.618  7.499 13.547  2.572  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 640.41 23.672 23.672  0.000 23.672  7.388 13.636  2.648  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 640.93 23.687 23.687  0.000 23.687  7.357 13.661  2.669  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 641.81 23.712 23.712  0.000 23.712  7.306 13.703  2.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 644.10 23.779 23.779  0.000 23.779  7.171 13.812  2.796  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 650.30 23.958 23.958  0.000 23.958  7.172 14.060  2.726  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 657.30 24.132 24.132  0.000 24.132  7.235 14.317  2.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 661.40 25.744 23.974  0.000 23.974  7.918 15.318  0.739  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 671.50 34.300 33.271  0.000 33.271 10.480 22.791  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 681.70 25.200 23.410  0.000 23.410  7.213 16.197  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 685.71 23.700 22.504  0.000 22.504  7.371 15.133  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 690.80 23.109 21.776  0.000 21.776  7.669 14.107  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 694.30 42.738 40.017  0.000 40.017 14.770 25.247  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 700.01 22.100 20.826  0.000 20.826  7.938 12.888  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 701.01 22.100 20.962  0.000 20.962  7.929 13.034  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 702.01 22.100 21.098  0.000 21.098  7.919 13.180  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 703.01 22.034 21.171  0.000 21.171  7.884 13.287  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 703.36 21.824 21.016  0.000 21.016  7.805 13.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 704.01 22.288 21.552  0.000 21.552  7.963 13.589  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 705.01 24.461 23.636  0.000 23.636  8.708 14.928  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 706.01 23.842 22.862  0.000 22.862  8.443 14.419  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 707.01 23.900 22.742  0.000 22.742  8.419 14.323  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 708.01 23.975 22.637  0.000 22.637  8.400 14.237  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 709.01 24.080 22.559  0.000 22.559  8.391 14.168  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 710.01 24.401 22.681  0.000 22.681  8.457 14.224  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 711.01 24.773 22.844  0.000 22.844  8.538 14.307  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 712.01 25.146 23.003  0.000 23.003  8.617 14.385  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 712.70 25.402 23.109  0.000 23.109  8.671 14.438  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 713.01 25.518 23.155  0.000 23.155  8.695 14.460  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 714.01 25.232 22.711  0.000 22.711  8.548 14.163  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 715.01 18.482 16.500  0.000 16.500  6.225 10.275  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 716.01 16.304 14.435  0.000 14.435  5.459  8.976  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 717.01 20.704 18.179  0.000 18.179  6.890 11.288  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 718.01 25.104 21.857  0.000 21.857  8.304 13.553  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 718.50 23.200 20.307  0.000 20.307  8.163 12.143  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 719.01 23.391 20.632  0.000 20.632  8.859 11.773  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 720.01 23.766 21.276  0.000 21.276 10.278 10.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 721.01 26.089 23.700  0.000 23.700 12.721 10.978  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 722.01 44.169 40.708  0.000 40.708 24.036 16.671  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 723.01 62.249 58.193  0.000 58.193 37.485 20.708  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 724.01 57.351 52.744  0.000 52.744 33.216 19.528  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 725.01 37.762 33.470  0.000 33.470 19.364 14.106  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 726.01 29.216 25.335  0.000 25.335 13.979 11.356  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 727.01 26.501 22.834  0.000 22.834 12.637 10.197  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 728.01 24.155 20.678  0.000 20.678 11.479  9.199  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 729.01 22.942 19.512  0.000 19.512 10.864  8.648  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 730.01 23.079 19.500  0.000 19.500 10.890  8.610  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 731.01 23.182 19.524  0.000 19.524 11.000  8.524  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 732.01 23.022 19.850  0.000 19.850 12.015  7.835  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
