Photoabsorption and Partial Photoionization Cross Sections for Molecular Oxygen
   LAM     ABS    ION   FRAG    O2+    X      a+A     b       B   2pi+c  2sig   33 eV  2,4sig  K
  219.13 10.144 10.144  4.102  6.042  2.628  2.060  1.354  0.708  1.400  0.428  0.526  1.040  0.000
  220.08 10.246 10.246  4.137  6.109  2.667  2.078  1.365  0.690  1.411  0.449  0.545  1.042  0.000
  221.44 10.394 10.394  4.176  6.218  2.726  2.109  1.383  0.666  1.427  0.473  0.569  1.041  0.000
  221.82 10.435 10.435  4.187  6.249  2.730  2.126  1.393  0.675  1.450  0.468  0.569  1.026  0.000
  224.74 10.730 10.730  4.259  6.472  2.754  2.249  1.469  0.745  1.632  0.420  0.562  0.900  0.000
  225.12 10.761 10.761  4.265  6.496  2.755  2.264  1.478  0.754  1.655  0.413  0.561  0.881  0.000
  227.01 10.914 10.914  4.295  6.619  2.758  2.338  1.523  0.800  1.777  0.378  0.553  0.788  0.000
  227.19 10.929 10.929  4.298  6.631  2.759  2.345  1.527  0.805  1.788  0.374  0.552  0.778  0.000
  227.47 10.952 10.952  4.303  6.649  2.759  2.356  1.534  0.812  1.807  0.368  0.551  0.764  0.000
  228.70 11.052 11.052  4.322  6.730  2.760  2.405  1.564  0.844  1.890  0.344  0.546  0.698  0.000
  230.65 11.212 11.212  4.359  6.854  2.790  2.464  1.599  0.888  1.901  0.341  0.546  0.682  0.000
  231.55 11.286 11.286  4.380  6.906  2.814  2.483  1.609  0.906  1.859  0.355  0.551  0.710  0.000
  232.60 11.373 11.373  4.406  6.967  2.841  2.504  1.622  0.927  1.809  0.371  0.555  0.743  0.000
  233.84 11.476 11.476  4.436  7.040  2.874  2.530  1.636  0.952  1.749  0.391  0.561  0.782  0.000
  234.38 11.521 11.521  4.449  7.072  2.888  2.541  1.642  0.963  1.723  0.400  0.564  0.799  0.000
  237.12 11.760 11.760  4.519  7.240  2.964  2.601  1.675  1.022  1.585  0.445  0.577  0.890  0.000
  237.20 11.768 11.768  4.522  7.246  2.967  2.603  1.677  1.024  1.581  0.446  0.578  0.893  0.000
  237.33 11.782 11.782  4.526  7.256  2.971  2.606  1.679  1.027  1.574  0.449  0.578  0.897  0.000
  239.87 12.053 12.053  4.610  7.443  3.116  2.635  1.693  0.991  1.609  0.455  0.609  0.946  0.000
  240.71 12.143 12.143  4.630  7.513  3.183  2.638  1.693  0.954  1.658  0.446  0.622  0.950  0.000
  241.74 12.254 12.254  4.653  7.601  3.266  2.642  1.693  0.907  1.718  0.435  0.638  0.954  0.000
  243.03 12.395 12.395  4.682  7.713  3.374  2.646  1.693  0.847  1.794  0.422  0.658  0.960  0.000
  243.78 12.476 12.476  4.698  7.778  3.437  2.648  1.693  0.813  1.838  0.414  0.670  0.964  0.000
  244.92 12.601 12.601  4.724  7.878  3.534  2.650  1.693  0.759  1.906  0.402  0.688  0.969  0.000
  245.94 12.692 12.692  4.738  7.954  3.617  2.648  1.689  0.709  1.963  0.390  0.703  0.972  0.000
  246.21 12.714 12.714  4.741  7.973  3.638  2.647  1.688  0.696  1.978  0.387  0.707  0.973  0.000
  246.91 12.771 12.771  4.749  8.022  3.694  2.643  1.684  0.661  2.017  0.378  0.717  0.974  0.000
  247.18 12.793 12.793  4.752  8.041  3.716  2.642  1.683  0.648  2.032  0.375  0.721  0.975  0.000
  249.18 12.956 12.956  4.773  8.183  3.788  2.687  1.707  0.660  2.064  0.369  0.709  0.970  0.000
  251.10 13.113 13.113  4.815  8.298  3.793  2.757  1.748  0.742  2.055  0.376  0.676  0.965  0.000
  251.95 13.183 13.183  4.840  8.342  3.792  2.786  1.764  0.781  2.054  0.380  0.661  0.964  0.000
  252.19 13.202 13.202  4.848  8.355  3.792  2.794  1.769  0.792  2.054  0.381  0.657  0.964  0.000
  253.78 13.334 13.334  4.896  8.438  3.789  2.848  1.800  0.866  2.052  0.388  0.630  0.961  0.000
  256.32 13.544 13.544  4.973  8.571  3.783  2.937  1.851  0.989  2.046  0.399  0.582  0.956  0.000
  256.38 13.549 13.549  4.975  8.574  3.783  2.939  1.852  0.992  2.046  0.399  0.581  0.956  0.000
  256.64 13.570 13.570  4.983  8.588  3.782  2.948  1.858  1.005  2.045  0.401  0.576  0.956  0.000
  256.92 13.594 13.594  4.991  8.603  3.781  2.958  1.863  1.019  2.044  0.402  0.571  0.955  0.000
  257.16 13.614 13.614  4.998  8.615  3.781  2.967  1.868  1.031  2.044  0.403  0.566  0.955  0.000
  257.39 13.633 13.633  5.005  8.627  3.780  2.975  1.873  1.043  2.043  0.404  0.562  0.954  0.000
  258.36 13.722 13.722  5.038  8.684  3.784  3.008  1.892  1.089  2.039  0.408  0.547  0.954  0.000
  259.52 13.845 13.845  5.083  8.762  3.855  3.014  1.893  1.099  2.015  0.412  0.580  0.977  0.000
  261.05 14.009 14.009  5.163  8.846  3.941  3.014  1.890  1.116  1.989  0.419  0.627  1.011  0.000
  262.99 14.218 14.218  5.276  8.942  4.047  3.011  1.884  1.141  1.959  0.428  0.690  1.058  0.000
  264.24 14.353 14.353  5.349  9.004  4.116  3.008  1.880  1.157  1.938  0.434  0.732  1.089  0.000
  264.80 14.414 14.414  5.383  9.032  4.147  3.007  1.878  1.164  1.928  0.436  0.751  1.103  0.000
  270.51 14.849 14.849  5.641  9.208  4.375  2.983  1.850  1.193  1.846  0.461  0.923  1.218  0.000
  271.99 14.940 14.940  5.670  9.270  4.389  3.015  1.867  1.158  1.880  0.470  0.940  1.222  0.000
  272.64 14.980 14.980  5.682  9.298  4.395  3.029  1.874  1.142  1.895  0.474  0.948  1.223  0.000
  274.19 15.075 15.075  5.712  9.363  4.410  3.062  1.891  1.103  1.933  0.483  0.966  1.227  0.000
  275.35 15.147 15.147  5.735  9.412  4.421  3.087  1.904  1.073  1.961  0.490  0.981  1.229  0.000
  275.67 15.167 15.167  5.741  9.426  4.424  3.094  1.908  1.065  1.969  0.492  0.985  1.230  0.000
  276.15 15.196 15.196  5.750  9.446  4.429  3.104  1.913  1.052  1.981  0.495  0.991  1.231  0.000
  276.84 15.239 15.239  5.764  9.475  4.435  3.119  1.921  1.033  1.999  0.500  0.999  1.233  0.000
  277.01 15.249 15.249  5.767  9.482  4.437  3.123  1.923  1.028  2.003  0.501  1.002  1.233  0.000
  277.27 15.265 15.265  5.772  9.493  4.439  3.129  1.925  1.021  2.010  0.502  1.005  1.234  0.000
  278.40 15.335 15.335  5.794  9.541  4.450  3.153  1.938  0.989  2.039  0.510  1.020  1.236  0.000
  281.41 15.521 15.521  5.837  9.684  4.484  3.224  1.975  0.896  2.116  0.529  1.058  1.239  0.000
  284.15 15.690 15.690  5.860  9.830  4.585  3.256  1.988  0.962  2.148  0.553  1.043  1.154  0.000
  285.70 15.785 15.785  5.873  9.912  4.648  3.270  1.994  1.011  2.163  0.566  1.031  1.102  0.000
  289.17 15.999 15.999  5.900 10.098  4.791  3.302  2.005  1.116  2.196  0.595  1.005  0.988  0.000
  290.69 16.092 16.092  5.914 10.178  4.853  3.315  2.010  1.161  2.211  0.608  0.995  0.940  0.000
  291.70 16.155 16.155  5.924 10.230  4.894  3.324  2.012  1.190  2.221  0.616  0.988  0.909  0.000
  292.78 16.221 16.221  5.935 10.286  4.938  3.332  2.015  1.221  2.232  0.625  0.981  0.876  0.000
  296.19 16.432 16.432  5.970 10.462  5.052  3.376  2.034  1.273  2.245  0.648  0.972  0.833  0.000
  299.50 16.510 16.510  5.957 10.553  5.062  3.432  2.059  1.211  2.193  0.655  0.982  0.917  0.000
  303.31 16.607 16.607  5.874 10.734  5.103  3.525  2.106  1.175  2.182  0.650  0.986  0.881  0.000
  303.78 16.636 16.636  5.868 10.769  5.111  3.542  2.115  1.190  2.211  0.648  0.989  0.829  0.000
  315.02 16.982 16.982  5.608 11.374  5.387  3.766  2.220  1.402  2.666  0.601  0.939  0.000  0.000
  316.20 17.003 17.003  5.576 11.427  5.436  3.771  2.220  1.394  2.665  0.597  0.919  0.000  0.000
  319.01 17.052 17.052  5.499 11.553  5.552  3.782  2.219  1.375  2.662  0.589  0.873  0.000  0.000
  319.83 17.066 17.066  5.476 11.590  5.587  3.785  2.219  1.369  2.661  0.587  0.859  0.000  0.000
  320.56 17.079 17.079  5.456 11.623  5.617  3.787  2.219  1.364  2.660  0.585  0.847  0.000  0.000
  335.41 17.415 17.415  5.060 12.355  6.136  3.947  2.272  1.144  2.675  0.573  0.668  0.000  0.000
  345.13 17.624 17.624  4.913 12.711  6.358  4.048  2.304  0.992  2.755  0.598  0.568  0.000  0.000
  345.74 17.636 17.636  4.910 12.727  6.369  4.053  2.305  0.998  2.757  0.604  0.551  0.000  0.000
  347.39 17.670 17.670  4.901 12.769  6.397  4.065  2.308  1.015  2.761  0.621  0.503  0.000  0.000
  349.85 17.720 17.720  4.887 12.833  6.439  4.083  2.311  1.042  2.767  0.646  0.432  0.000  0.000
  356.01 17.930 17.930  4.786 13.144  6.621  4.176  2.347  1.092  2.743  0.700  0.250  0.000  0.000
  360.80 18.127 18.127  4.711 13.415  6.778  4.257  2.380  1.132  2.727  0.742  0.110  0.000  0.000
  364.48 18.278 18.278  4.650 13.627  6.902  4.321  2.405  1.161  2.712  0.773  0.004  0.000  0.000
  368.07 18.403 18.403  4.584 13.820  7.084  4.334  2.402  1.160  2.583  0.840  0.000  0.000  0.000
  399.82 19.534 19.534  4.778 14.756  8.215  4.264  2.277  1.110  2.559  1.110  0.000  0.000  0.000
  401.14 19.583 19.583  4.779 14.804  8.257  4.270  2.276  1.091  2.597  1.091  0.000  0.000  0.000
  401.94 19.612 19.612  4.780 14.833  8.283  4.274  2.276  1.080  2.620  1.080  0.000  0.000  0.000
  403.26 19.661 19.661  4.781 14.880  8.326  4.279  2.276  1.061  2.658  1.061  0.000  0.000  0.000
  417.24 20.162 20.162  4.773 15.390  8.471  4.544  2.375  0.938  2.949  0.885  0.000  0.000  0.000
  430.47 20.489 20.489  4.820 15.669  7.958  5.091  2.620  1.027  3.063  0.730  0.000  0.000  0.000
  436.70 20.642 20.642  4.761 15.881  8.106  5.146  2.629  1.062  3.129  0.569  0.000  0.000  0.000
  453.01 21.261 21.261  4.796 16.464  8.512  5.298  2.654  1.201  3.435  0.160  0.000  0.000  0.000
  454.01 21.299 21.299  4.809 16.490  8.532  5.304  2.654  1.212  3.462  0.135  0.000  0.000  0.000
  455.01 21.341 21.341  4.822 16.518  8.553  5.311  2.654  1.224  3.489  0.109  0.000  0.000  0.000
  456.01 21.385 21.385  4.836 16.549  8.576  5.319  2.654  1.235  3.518  0.083  0.000  0.000  0.000
  457.01 21.429 21.429  4.850 16.579  8.598  5.326  2.655  1.247  3.546  0.057  0.000  0.000  0.000
  458.01 21.473 21.473  4.864 16.609  8.620  5.333  2.655  1.259  3.574  0.030  0.000  0.000  0.000
  459.01 21.517 21.517  4.878 16.639  8.643  5.341  2.655  1.271  3.603  0.004  0.000  0.000  0.000
  460.01 21.561 21.561  4.892 16.669  8.633  5.370  2.666  1.295  3.597  0.000  0.000  0.000  0.000
  461.01 21.605 21.605  4.896 16.708  8.623  5.405  2.680  1.318  3.578  0.000  0.000  0.000  0.000
  462.01 21.649 21.649  4.901 16.748  8.613  5.440  2.694  1.341  3.560  0.000  0.000  0.000  0.000
  463.01 21.693 21.693  4.906 16.787  8.603  5.476  2.708  1.365  3.540  0.000  0.000  0.000  0.000
  464.01 21.737 21.737  4.911 16.826  8.593  5.511  2.722  1.390  3.521  0.000  0.000  0.000  0.000
  465.01 21.781 21.781  4.915 16.865  8.582  5.547  2.736  1.414  3.501  0.000  0.000  0.000  0.000
  465.22 21.790 21.790  4.916 16.874  8.580  5.554  2.739  1.420  3.497  0.000  0.000  0.000  0.000
  466.01 21.825 21.825  4.920 16.905  8.572  5.583  2.751  1.440  3.481  0.000  0.000  0.000  0.000
  467.01 21.869 21.869  4.925 16.944  8.561  5.618  2.765  1.465  3.460  0.000  0.000  0.000  0.000
  468.01 21.913 21.913  4.930 16.983  8.550  5.654  2.779  1.491  3.438  0.000  0.000  0.000  0.000
  469.01 21.957 21.957  4.934 17.023  8.539  5.690  2.793  1.518  3.417  0.000  0.000  0.000  0.000
  470.01 22.000 22.000  4.939 17.061  8.527  5.726  2.807  1.544  3.395  0.000  0.000  0.000  0.000
  471.01 22.043 22.043  4.968 17.075  8.504  5.754  2.818  1.580  3.389  0.000  0.000  0.000  0.000
  472.01 22.087 22.087  4.997 17.089  8.480  5.782  2.828  1.615  3.382  0.000  0.000  0.000  0.000
  473.01 22.130 22.130  5.026 17.104  8.456  5.810  2.838  1.652  3.374  0.000  0.000  0.000  0.000
  474.01 22.173 22.173  5.055 17.118  8.432  5.838  2.848  1.689  3.366  0.000  0.000  0.000  0.000
  475.01 22.216 22.216  5.085 17.132  8.407  5.866  2.858  1.727  3.357  0.000  0.000  0.000  0.000
  476.01 22.259 22.259  5.114 17.146  8.383  5.894  2.869  1.766  3.347  0.000  0.000  0.000  0.000
  477.01 22.303 22.303  5.143 17.160  8.362  5.920  2.878  1.802  3.341  0.000  0.000  0.000  0.000
  478.01 22.346 22.346  5.172 17.174  8.351  5.939  2.883  1.821  3.351  0.000  0.000  0.000  0.000
  479.01 22.389 22.389  5.201 17.188  8.341  5.958  2.889  1.840  3.361  0.000  0.000  0.000  0.000
  480.01 22.432 22.432  5.230 17.202  8.331  5.977  2.894  1.859  3.371  0.000  0.000  0.000  0.000
  481.01 22.475 22.475  5.233 17.242  8.333  6.005  2.904  1.869  3.365  0.000  0.000  0.000  0.000
  482.01 22.518 22.518  5.236 17.282  8.335  6.033  2.914  1.879  3.358  0.000  0.000  0.000  0.000
  483.01 22.561 22.561  5.239 17.322  8.337  6.061  2.924  1.888  3.351  0.000  0.000  0.000  0.000
  484.01 22.604 22.604  5.243 17.362  8.338  6.090  2.934  1.898  3.344  0.000  0.000  0.000  0.000
  485.01 22.648 22.648  5.246 17.402  8.340  6.118  2.944  1.908  3.338  0.000  0.000  0.000  0.000
  486.01 22.691 22.691  5.249 17.442  8.342  6.146  2.954  1.917  3.331  0.000  0.000  0.000  0.000
  487.01 22.734 22.734  5.252 17.482  8.343  6.175  2.964  1.927  3.325  0.000  0.000  0.000  0.000
  488.01 22.777 22.777  5.255 17.522  8.345  6.203  2.974  1.937  3.318  0.000  0.000  0.000  0.000
  489.01 22.820 22.820  5.258 17.562  8.346  6.232  2.984  1.946  3.312  0.000  0.000  0.000  0.000
  489.50 22.841 22.841  5.259 17.582  8.347  6.246  2.989  1.951  3.308  0.000  0.000  0.000  0.000
  490.01 22.863 22.863  5.261 17.602  8.348  6.261  2.994  1.956  3.305  0.000  0.000  0.000  0.000
  491.01 22.907 22.907  5.279 17.628  8.342  6.284  3.001  1.971  3.308  0.000  0.000  0.000  0.000
  492.01 22.953 22.953  5.297 17.656  8.338  6.309  3.009  1.986  3.311  0.000  0.000  0.000  0.000
  493.01 22.999 22.999  5.315 17.684  8.333  6.333  3.017  2.001  3.314  0.000  0.000  0.000  0.000
  494.01 23.046 23.046  5.333 17.712  8.329  6.358  3.025  2.016  3.317  0.000  0.000  0.000  0.000
  495.01 23.092 23.092  5.352 17.740  8.324  6.383  3.033  2.031  3.320  0.000  0.000  0.000  0.000
  496.01 23.138 23.138  5.370 17.768  8.318  6.408  3.042  2.055  3.315  0.000  0.000  0.000  0.000
  497.01 23.184 23.184  5.388 17.796  8.301  6.441  3.053  2.131  3.257  0.000  0.000  0.000  0.000
  498.01 23.230 23.230  5.406 17.824  8.284  6.475  3.065  2.209  3.197  0.000  0.000  0.000  0.000
  499.01 23.277 23.277  5.425 17.852  8.267  6.508  3.077  2.289  3.136  0.000  0.000  0.000  0.000
  499.37 23.293 23.293  5.431 17.862  8.261  6.520  3.081  2.318  3.113  0.000  0.000  0.000  0.000
  500.01 23.323 23.323  5.443 17.880  8.250  6.541  3.088  2.371  3.072  0.000  0.000  0.000  0.000
  501.01 23.369 23.369  5.446 17.923  8.240  6.580  3.103  2.448  2.998  0.000  0.000  0.000  0.000
  502.01 23.415 23.415  5.449 17.966  8.230  6.619  3.117  2.527  2.923  0.000  0.000  0.000  0.000
  503.01 23.462 23.462  5.452 18.009  8.220  6.658  3.131  2.607  2.846  0.000  0.000  0.000  0.000
  504.01 23.508 23.508  5.455 18.052  8.209  6.698  3.146  2.689  2.767  0.000  0.000  0.000  0.000
  507.93 23.690 23.690  5.467 18.222  8.166  6.853  3.203  3.026  2.441  0.000  0.000  0.000  0.000
  515.60 24.094 24.094  5.426 18.668  8.126  7.206  3.336  3.732  1.694  0.000  0.000  0.000  0.000
  520.66 24.362 24.362  5.355 19.007  8.191  7.363  3.453  3.938  1.417  0.000  0.000  0.000  0.000
  525.80 24.607 24.607  5.111 19.496  8.334  7.557  3.605  3.951  1.160  0.000  0.000  0.000  0.000
  537.02 25.101 25.101  4.723 20.378  8.558  7.909  3.912  4.058  0.665  0.000  0.000  0.000  0.000
  542.80 25.399 25.399  4.378 21.022  8.658  7.886  4.478  3.897  0.481  0.000  0.000  0.000  0.000
  550.01 25.780 25.780  4.394 21.386  8.533  7.494  5.359  4.054  0.341  0.000  0.000  0.000  0.000
  554.37 25.947 25.947  4.424 21.524  8.421  7.220  5.883  4.179  0.244  0.000  0.000  0.000  0.000
  558.60 26.013 26.013  4.502 21.511  8.254  6.903  6.353  4.361  0.141  0.000  0.000  0.000  0.000
  562.80 26.053 26.053  4.498 21.554  8.110  6.606  6.838  4.477  0.021  0.000  0.000  0.000  0.000
  568.50 25.928 25.928  4.463 21.465  7.853  6.750  6.862  4.463  0.000  0.000  0.000  0.000  0.000
  572.30 25.746 25.746  4.422 21.324  7.653  6.874  6.797  4.422  0.000  0.000  0.000  0.000  0.000
  580.40 24.482 24.482  4.186 20.296  6.983  6.884  6.429  4.186  0.000  0.000  0.000  0.000  0.000
  584.33 22.809 22.809  3.892 18.918  6.372  6.571  5.974  3.892  0.000  0.000  0.000  0.000  0.000
  592.40 19.975 19.975  3.571 16.405  5.017  5.753  5.634  3.571  0.000  0.000  0.000  0.000  0.000
  599.60 28.404 28.404  2.948 25.456  6.556  8.649 10.251  2.948  0.000  0.000  0.000  0.000  0.000
  609.76 25.192 25.192  1.775 23.417  6.396  9.443  7.578  1.775  0.000  0.000  0.000  0.000  0.000
  616.60 23.768 23.768  1.133 22.635  6.477  9.181  6.977  1.133  0.000  0.000  0.000  0.000  0.000
  624.93 27.268 27.268  0.989 26.278  7.996  9.960  8.322  0.989  0.000  0.000  0.000  0.000  0.000
  629.73 27.329 27.329  0.907 26.422  8.316  9.610  8.496  0.907  0.000  0.000  0.000  0.000  0.000
  638.50 25.324 25.288  0.976 24.312  8.116  8.162  8.033  0.976  0.000  0.000  0.000  0.000  0.000
  640.41 24.429 24.365  1.020 23.345  7.891  7.695  7.759  1.020  0.000  0.000  0.000  0.000  0.000
  640.93 24.191 24.120  1.031 23.089  7.830  7.573  7.686  1.031  0.000  0.000  0.000  0.000  0.000
  641.81 23.794 23.712  1.050 22.662  7.729  7.369  7.564  1.050  0.000  0.000  0.000  0.000  0.000
  644.10 22.795 22.684  1.092 21.591  7.471  6.863  7.257  1.092  0.000  0.000  0.000  0.000  0.000
  650.30 26.170 26.110  1.098 25.013  8.100  8.381  8.531  1.098  0.000  0.000  0.000  0.000  0.000
  657.30 27.434 26.689  0.487 26.202  7.650  9.474  9.078  0.487  0.000  0.000  0.000  0.000  0.000
  661.40 25.690 24.945  0.062 24.884  6.800  9.384  8.700  0.062  0.000  0.000  0.000  0.000  0.000
  671.50 20.865 20.121  0.000 20.121  7.062  8.008  5.050  0.000  0.000  0.000  0.000  0.000  0.000
  681.70 21.798 21.160  0.000 21.160 10.695 10.465  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  685.71 20.134 19.641  0.000 19.641 10.506  9.135  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  690.80 21.275 20.035  0.000 20.035 11.466  8.569  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  694.30 21.306 19.818  0.000 19.818 11.852  7.966  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  700.01 27.388 24.510  0.000 24.510 15.687  8.824  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  701.01 30.782 26.530  0.000 26.530 17.174  9.356  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  702.01 21.727 18.817  0.000 18.817 12.319  6.497  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  703.01 28.426 24.771  0.000 24.771 16.400  8.371  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  703.36 27.480 23.952  0.000 23.952 15.919  8.033  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  704.01 35.028 30.511  0.000 30.511 20.424 10.087  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  705.01 56.919 49.557  0.000 49.557 33.122 16.436  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  706.01 42.331 36.583  0.000 36.583 24.117 12.466  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  707.01 25.404 21.683  0.000 21.683 14.096  7.586  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  708.01 26.342 22.620  0.000 22.620 14.499  8.121  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  709.01 25.986 22.162  0.000 22.162 14.004  8.158  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  710.01 29.495 24.674  0.000 24.674 15.366  9.308  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  711.01 41.579 35.616  0.000 35.616 21.855 13.760  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  712.01 32.992 26.293  0.000 26.293 15.895 10.398  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  712.70 36.844 30.145  0.000 30.145 18.034 12.111  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  713.01 37.477 30.852  0.000 30.852 18.370 12.483  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  714.01 33.149 27.189  0.000 27.189 15.941 11.248  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  715.01 33.563 27.503  0.000 27.503 15.874 11.629  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  716.01 29.058 23.848  0.000 23.848 13.547 10.301  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  717.01 28.348 23.680  0.000 23.680 13.236 10.444  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  718.01 28.671 23.545  0.000 23.545 12.946 10.600  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  718.50 27.354 22.330  0.000 22.330 12.340  9.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  719.01 25.983 21.064  0.000 21.064 11.738  9.326  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  720.01 30.610 23.048  0.000 23.048 13.052  9.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  721.01 29.194 22.917  0.000 22.917 13.185  9.732  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  722.01 27.051 22.939  0.000 22.939 13.406  9.533  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  723.01 25.888 20.677  0.000 20.677 12.271  8.406  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  724.01 27.010 22.083  0.000 22.083 13.182  8.901  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  725.01 25.477 21.692  0.000 21.692 12.945  8.746  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  726.01 42.490 32.325  0.000 32.325 19.287 13.038  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  727.01 36.261 28.904  0.000 28.904 17.242 11.662  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  728.01 30.409 25.571  0.000 25.571 15.250 10.321  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  729.01 27.959 23.483  0.000 23.483 14.002  9.481  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  730.01 30.051 25.404  0.000 25.404 15.144 10.260  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  731.01 34.918 29.412  0.000 29.412 17.505 11.907  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  732.01 37.552 32.304  0.000 32.304 18.981 13.323  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  733.01 39.495 35.034  0.000 35.034 20.319 14.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  734.01 33.675 30.434  0.000 30.434 17.419 13.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  735.01 34.978 31.364  0.000 31.364 17.713 13.651  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  736.01 34.243 30.938  0.000 30.938 17.277 13.662  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  737.01 32.676 29.959  0.000 29.959 16.846 13.113  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  738.01 31.603 28.836  0.000 28.836 16.326 12.511  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  739.01 26.434 24.081  0.000 24.081 13.726 10.354  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  740.01 25.633 21.920  0.000 21.920 12.580  9.341  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  741.01 20.981 18.199  0.000 18.199 10.749  7.449  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  742.01 21.303 18.396  0.000 18.396 11.272  7.124  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  743.01 18.571 14.388  0.000 14.388  9.133  5.255  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  744.01 19.036 14.905  0.000 14.905  9.659  5.246  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  745.01 20.456 16.734  0.000 16.734 10.736  5.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  746.01 19.126 15.405  0.000 15.405 10.077  5.328  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  747.01 21.157 16.695  0.000 16.695 11.161  5.534  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  748.01 15.672 11.554  0.000 11.554  7.891  3.663  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  749.01 19.766 13.229  0.000 13.229  9.225  4.003  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  750.01 23.755 14.853  0.000 14.853 10.572  4.281  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  750.01 23.755 14.853  0.000 14.853 10.572  4.281  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  751.01 17.516 11.574  0.000 11.574  8.405  3.169  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  752.01 17.689 12.596  0.000 12.596  9.329  3.267  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  753.01 15.335 10.282  0.000 10.282  7.764  2.519  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  754.01 19.411 12.409  0.000 12.409  9.548  2.861  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  755.01 23.402 14.492  0.000 14.492 11.360  3.132  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  756.01 18.999 12.337  0.000 12.337  9.849  2.488  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  757.01 18.515 12.226  0.000 12.226  9.936  2.290  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  758.01 17.538 10.830  0.000 10.830  8.958  1.872  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  758.68 18.727 11.760  0.000 11.760  9.841  1.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  759.01 17.990 11.146  0.000 11.146  9.380  1.766  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  759.44 17.245 10.443  0.000 10.443  8.853  1.590  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  760.01 19.040 10.770  0.000 10.770  9.219  1.551  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  760.30 19.954 10.936  0.000 10.936  9.406  1.529  0.000  0.000  0.000  0.000  0.000  0.000  0.000
