Fennally et al cross sections at Hinteregger wavelengths.
     WVLN         O Ion        O2 Ion       O2 Abs       N2 Ion       N2 Abs  
   629.7300      13.4000      31.0980      32.0560      23.3720      23.3720
   638.5000      13.3150      25.9860      26.1670      23.6180      23.6180
   640.4100      13.2880      26.4810      26.9650      23.6720      23.6720
   640.9300      13.2720      26.8960      27.4710      23.6870      23.6870
   641.8100      13.2460      27.5910      28.3280      23.7120      23.7120
   644.1000      13.1770      20.7800      21.2830      23.7790      23.7790
   650.3000      12.9880      26.0270      26.9870      23.9580      23.9580
   657.3000      12.7080      26.7930      27.4430      24.1320      24.1320
   661.4000      12.4420      25.3910      25.6860      23.3560      25.7440
   671.5000      10.9840      20.4410      20.8580      33.3000      34.3000
   681.7000      14.0190      21.2110      21.7710      51.4440      55.3010
   685.7100      25.4900      20.1120      20.1120      22.9390      23.7000
   690.8000       9.4750      19.7500      21.2750       7.5400      23.1090
   694.3000       9.0200      19.4930      21.2750      46.5900      42.7380
   700.0000      12.0470      23.1770      27.2670      22.4000      23.8000
   701.0000       8.0250      26.3500      31.0000      24.1000      25.5000
   702.0000      13.5870      18.4170      21.6670      28.6000      30.1000
   703.0000      12.0220      24.0830      28.3330      27.1000      28.3000
   703.3600      11.4580      23.7520      27.4400      25.4800      26.5360
   704.0000      10.4560      31.2010      34.7530      22.6000      23.4000
   705.0000       9.6000      48.9190      56.6360      22.3000      25.7940
   706.0000       9.7200      35.7970      42.5760      21.0000      25.7830
   707.0000       9.8200      21.6350      25.3620      19.6000      25.7720
   708.0000       9.8370      22.6180      26.3300      19.0000      25.7610
   709.0000       9.7310      22.0620      25.9750      18.1000      25.7500
   710.0000       9.1500      24.6800      29.3920      17.8000      25.7390
   711.0000       9.2950      34.6110      41.7000      18.0000      25.7280
   712.0000       9.2720      26.1290      32.9500      18.0000      25.7170
   712.7000       9.2500      29.9550      36.8000      17.0200      25.7090
   713.0000       9.2350      30.7540      37.4640      16.6000      25.7060
   714.0000       9.1850      27.4730      33.1000      14.2000      25.3000
   715.0000       9.2140      28.0040      33.6150       4.5000      18.5500
   716.0000       9.1690      23.4900      29.0000       3.0000      16.2600
   717.0000       8.9320      21.4300      28.3570      10.5000      20.6600
   718.0000       8.8430      24.7490      28.7110      11.0000      25.0600
   718.5000       8.9080      23.0160      27.3500      17.5500      23.2000
   719.0000       8.9740      21.2710      25.9890      24.1000      27.4000
   720.0000       9.0000      24.6730      30.4800      14.0000      25.6630
   721.0000       8.9170      24.1530      29.2670      12.7000      24.7760
   722.0000       8.9860      22.6540      27.0500      15.8000      31.5380
   723.0000       8.8700      19.8600      25.8600      35.6000      38.3000
   724.0000      14.3000      22.6380      26.9500      33.1000      57.5470
   725.0000      50.9010      21.5050      25.3000      22.6000      37.9580
   726.0000      24.0670      36.5590      42.3000      15.7000      29.2430
   727.0000      13.9560      31.6970      36.4330      16.7000      26.5290
   728.0000       8.9900      26.9310      30.3800       7.1000      24.1730
   729.0000       9.1700      25.3890      27.9000       6.3000      22.9410
   730.0000       8.6890      26.8090      29.9690      16.9000      23.0770
   731.0000       8.3070      30.3770      34.8150      12.1000      23.1130
   732.0000       8.0760      33.4130      37.2290      13.1000      22.2420
   733.0000       5.2080      36.3520      39.6750       8.8000      21.3710
   734.0000       8.6180      30.2150      33.6100      10.2000      20.5000
   735.0000      15.0000      30.3370      34.9100      11.3000      25.0000
   736.0000      16.1250      31.7830      34.2320       8.8000      20.5000
   737.0000      10.4000      29.8620      32.7050       9.2000      26.4000
   738.0000      12.5000      27.7350      31.6170      23.7000      18.2000
   739.0000      14.3750      23.0560      26.4500       9.9000      27.3000
   740.0000       9.0800      19.5320      25.7000      10.0000      23.6000
   741.0000      18.4110      17.2940      21.0330       7.5000      17.3000
   742.0000      11.7690      17.1250      21.3000      10.1000      18.2000
   743.0000       6.3330      14.7630      18.6400       5.8000      13.2000
   744.0000      21.7630      16.3000      19.0560       8.9000      31.8000
   745.0000       9.6750      15.1700      20.5000      11.3000      31.8000
   746.0000       5.4250      12.8260      19.1430       6.3000      15.9000
   747.0000       5.4870      14.1510      21.2000       5.9000      22.7000
   748.0000      20.1000      11.3880      15.6000      11.3000      38.6000
   749.0000      20.3290      14.0530      19.7000       6.4000      18.6000
   750.0000       9.8200      16.5810      23.8000      10.0000      33.2000
   750.0100       9.7540      16.5330      23.7370       9.9410      33.0950
   751.0000       5.0030      11.9000      17.5000       4.1000      22.7000
   752.0000       4.3470      11.7820      17.7380       5.2000      18.2000
   753.0000       4.4000       9.9260      15.3050       4.5000      13.6000
   754.0000       4.7570      12.2750      19.3520      13.8000      27.3000
   755.0000      22.3430      14.5080      23.4000      28.5000      30.0000
   756.0000      40.1850      10.2600      19.0000      14.3000      20.0000
   757.0000      13.1150      10.2680      18.5000      24.2000      50.0000
   758.0000      12.7000       9.9750      17.5000      10.3000      16.8000
   758.6800       9.7080      10.6500      18.6840      19.1510      27.8630
   759.0000       8.3000      10.3260      17.9800      14.5000      19.0430
   759.4400       6.3640       9.9140      17.2260      10.3600      12.6950
   760.0000       3.9000       9.7340      18.9920      12.3000      23.8250
   760.3000       4.0590       9.7700      19.9380      14.5340      27.8000
   761.0000       4.0500      10.8580      20.4880      24.5000      46.0000
   761.1300       4.0490      10.2840      20.1790      23.0180      48.6000
   762.0000       4.0380       9.8170      19.6330      11.7000      36.4000
   763.0000       4.0250      11.1830      21.1570      10.6000      16.0000
   764.0000       4.0130      11.4900      19.3860      22.2000      18.2000
   765.0000       4.0000      10.5470      19.9000     106.9000     150.0000
   765.1500       3.9970      11.7180      20.8000      65.7960     120.4940
   766.0000       3.9800      13.6490      20.7770      14.0000      14.5000
   767.0000       3.9600      12.2610      19.5500       9.7000      13.4090
   768.0000       3.9400      11.2350      18.1910      11.7000      36.2510
   769.0000       3.9200      11.6100      19.3500      16.0000      25.0000
   770.0000       3.9000       8.8870      17.2000       9.4000      26.8500
   770.4100       3.8920       8.4720      18.9090       8.4980      14.1820
   771.0000       3.8800       9.4750      20.8250      11.4000      25.0000
   772.0000       3.8600      12.2400      24.0000      26.0000      50.0000
   773.0000       3.8400      16.7650      26.3720      10.3000      21.5000
   774.0000       3.8200      13.0490      20.9500       8.0000      14.5000
   775.0000       3.8000       7.8990      14.4500      12.5000      40.9000
   776.0000       3.7800      11.1070      18.4500      63.3000     125.0000
   777.0000       3.7600      16.1070      23.6170      14.0500      24.5000
   778.0000       3.7400      21.9330      28.7830       7.2000      15.9000
   779.0000       3.7200       8.2720      25.0670       8.6000      40.5380
   780.0000       3.7000      12.5550      27.9000       7.0000      14.5000
   780.3200       3.7000      11.0010      25.0410       8.6000      25.8600
   781.0000       3.7000       7.9030      18.9670      41.7000      50.0000
   782.0000       3.7000       6.9390      16.7500      13.4000      34.0000
   783.0000       3.7000       9.0390      20.7000       7.8000      18.2000
   784.0000       3.7000      11.5840      23.9670      48.4000     224.3570
   785.0000       3.7000      16.2000      24.3000       6.4000     125.0000
   786.0000       3.7130      16.0800      26.8000      22.8000      45.5000
   786.4700       3.7180       8.0430      20.0500      11.6150      28.1830
   787.0000       3.7250       9.3070      22.7000       7.8000      10.5000
   787.7100       3.7340      10.7600      25.2870       6.9220       7.7160
   788.0000       3.7370      10.6480      24.2000       6.4000       9.0380
   789.0000       3.7500      11.5240      26.8000       7.2000      13.6000
   790.0000       3.7620      10.1880      28.3000      11.0000      25.5830
   790.1500       3.7640       9.8300      27.4810      10.0250      21.6000
   791.0000       3.7750       7.8700      22.8380      41.0000      58.1000
   792.0000      14.0300       7.1990      25.4640      50.9000     100.0000
   793.0000      32.6430       9.6190      25.6770      12.1000      29.5000
   794.0000       2.8000      16.4550      33.0620       6.2000      25.0000
   795.0000       2.9160      10.8360      23.1000      12.3000      54.5000
   796.0000       3.0320       9.4430      21.9000       4.5000      13.1000
   797.0000       3.1480      10.9100      27.6060       1.0000       8.0000
   798.0000       3.2640       9.9400      28.0000       0.0000       8.0000
   799.0000       3.3800      10.7230      35.1570       0.0000       8.0000
   800.0000       3.4960      12.2320      36.8000       0.0000       8.0000
   801.0000       3.6120      13.4640      30.8000       0.0000      40.0000
   802.0000       3.7280      12.9600      30.0000       0.0000      40.0000
   803.0000       3.8440       8.9970      30.5550       0.0000       1.0000
   804.0000       3.9600       9.5500      33.2190       0.0000       6.7000
   805.0000       7.2000      17.2760      47.6570       0.0000      10.9000
   806.0000       3.6400      15.3760      39.0580       0.0000      18.0000
   807.0000       2.0570      11.7180      27.9000       0.0000      46.7000
   808.0000       2.1290      10.6120      34.9830       0.0000       6.7000
   809.0000       2.2020       7.3210      26.1450       0.0000      33.3000
   810.0000       2.2740      10.7450      31.4560       0.0000       8.0000
   811.0000      32.6230      19.1330      44.5360       0.0000       1.0000
   812.0000       3.6700      20.8450      47.6850       0.0000       4.7000
   813.0000       2.3780       9.8110      31.7330       0.0000      33.4000
   814.0000       3.1940      11.8970      30.9000       0.0000      80.0000
   815.0000       4.0110       9.7150      19.7650       0.0000      10.7000
   816.0000       4.8270      15.9180      31.4170       0.0000      14.0000
   817.0000       4.1400      22.4740      43.0690       0.0000      40.0000
   818.0000       2.5900      13.5100      25.1600       0.0000      66.0000
   819.0000       1.6850      11.6330      25.8500       0.0000      92.0000
   820.0000       1.9540      10.6100      29.5200       0.0000       3.0000
   821.0000       2.2230       6.8160      19.1200       0.0000      26.7000
   822.0000       2.4920       7.2590      20.5320       0.0000       3.0000
   823.0000       2.7620       9.4680      27.0050       0.0000       3.0000
   824.0000       3.0310       9.0110      17.3660       0.0000       3.0000
   825.0000       3.3000       9.7340      23.1750       0.0000      13.3000
   826.0000       3.3000       8.7000      29.0000       0.0000      33.3000
   827.0000       3.3000       4.9600      11.9800       0.0000      13.3000
   828.0000       3.3000       4.7200      11.8600       0.0000       3.0000
   829.0000       3.3000       7.3450      18.5180       0.0000       3.0000
   830.0000       3.3000       7.9490      21.0500       0.0000       3.0000
   831.0000       3.3000       3.8730      10.8000       0.0000       3.0000
   832.0000       3.3000       8.6240      25.4000       0.0000       3.0000
   833.0000       3.3000       9.8100      25.7310       0.0000       3.0000
   834.0000       3.3000       4.5550      11.7930       0.0000      13.3000
   834.2000       3.3000       4.0290      10.5000       0.0000      13.3000
   835.0000       3.3000       3.8490      10.3560       0.0000      83.3000
   836.0000       3.3000       5.4510      14.7330       0.0000       3.0000
   837.0000       3.3000       5.3080      14.3470       0.0000       3.0000
   838.0000       3.3000       5.3740      14.5250       0.0000      13.3000
   839.0000       3.3000      10.7230      24.1500       0.0000      60.0000
   840.0000       3.3000       8.3340      19.8900       0.0000       3.0000
   841.0000       3.2900       5.6670      14.3230       0.0000      26.7000
   842.0000       3.2800       3.2600       8.7570       0.0000      96.7000
   843.0000       3.2700       3.6720      10.3710       0.0000       6.7000
   844.0000       3.2600       4.0740      11.7250       0.0000       1.0000
   845.0000       3.2500       4.3290      12.6460       0.0000      13.3000
   846.0000       3.2400       5.0760      17.9410       0.0000       1.0000
   847.0000       3.2300       3.5460      11.3530       0.0000       1.0000
   848.0000       3.2200       2.6690       7.5780       0.0000       1.0000
   849.0000       3.2100       3.3380       7.5140       0.0000       1.0000
   850.0000       3.2000       3.7970       8.7140       0.0000      46.7000
   851.0000       3.1800       3.8700       9.3330       0.0000      13.3000
   852.0000       3.1600       3.9080       9.1710       0.0000       3.0000
   853.0000       3.1400       5.2650      12.0290       0.0000       3.0000
   854.0000       3.1200       4.3780      10.1560       0.0000      66.7000
   855.0000       3.1000       2.9820       7.1000       0.0000      20.0000
   856.0000       3.1000       3.5480       8.3610       0.0000       3.0000
   857.0000       3.1000       4.1250       9.6220       0.0000       8.7000
   858.0000       3.1000       3.6800       8.7840       0.0000      13.3000
   859.0000       3.1000       2.8410       7.0470       0.0000       3.0000
   860.0000       3.1000       3.5520       7.0110       0.0000       3.0000
   861.0000       3.1000       4.7360       7.4000       0.0000       6.0000
   862.0000       3.1000       5.0300       7.9280       0.0000       1.0000
   863.0000       3.1000       5.3180       8.4560       0.0000       1.0000
   864.0000       3.1000       5.6000       8.9830       0.0000       6.0000
   865.0000       3.1000       5.4250       8.8070       0.0000       1.0000
   866.0000       3.1000       4.5890       7.5730       0.0000       3.0000
   867.0000       3.1000       3.7790       6.3400       0.0000      65.0000
   868.0000       3.1000       3.5600       6.0330       0.0000      14.0000
   869.0000       3.1000       4.1990       7.1170       0.0000      10.0000
   870.0000       3.1000       4.8380       8.2000       0.0000       3.0000
   871.0000       3.9360       5.5970       9.4860       0.0000      25.0000
   872.0000       4.7710       5.5640       9.3050       0.0000      80.0000
   873.0000       5.6070       4.9780       8.1470       0.0000      12.0000
   874.0000       6.4420       4.3630       6.9890       0.0000       6.0000
   875.0000       7.2780       3.7170       5.8320       0.0000       3.0000
   876.0000       8.1130       5.0680       7.7520       0.0000     107.0000
   877.0000       8.9490       7.0070      10.4410       0.0000      30.0000
   878.0000      10.4000       9.0380      13.1310       0.0000      22.0000
   879.0000      47.2760       8.1360      11.9120       0.0000      12.0000
   880.0000       5.1100       6.9280      10.2580       0.0000       3.0000
   881.0000       4.6580       5.7450       8.6040       0.0000     110.0000
   882.0000       4.2060       4.5870       6.9500       0.0000      51.0000
   883.0000       3.7540       3.4550       5.2960       0.0000      27.0000
   884.0000       3.3020       5.4570       8.4680       0.0000       1.0000
   885.0000       2.8500       8.7240      13.7080       0.0000       1.0000
   886.0000       2.8200      10.9530      17.1060       0.0000       9.0000
   887.0000       2.7900       9.0880      13.1360       0.0000      70.0000
   888.0000       2.7600       6.8140       9.1670       0.0000      30.0000
   889.0000       2.7300       4.1310       5.1970       0.0000      20.0000
   890.0000       2.7000       6.0000       7.5000       0.0000      12.0000
   891.0000       2.7100       8.4000      10.5000       0.0000      67.0000
   892.0000       2.7200       6.7680       8.4600       0.0000      15.0000
   893.0000       2.7300       4.6880       5.8600       0.0000       1.0000
   894.0000       2.7400       7.8400      11.2000       0.0000      10.0000
   895.0000       2.7500       6.3390       8.0890       0.0000       3.0000
   896.0000       2.7700       3.4110       5.8400       0.0000       3.0000
   897.0000       2.7900       4.2520       7.0400       0.0000      11.0000
   898.0000       2.8100       3.7360       6.1000       0.0000       1.0000
   899.0000       2.8300       3.4610       5.6200       0.0000       6.0000
   900.0000       2.8500       5.1730       8.3530       0.0000      12.0000
   901.0000       2.8300       7.8260      12.9000       0.0000       3.0000
   902.0000       2.8100       5.7230       9.7000       0.0000       6.0000
   903.0000       2.7900       7.2870      10.3110       0.0000      10.0000
   904.0000       2.7700       8.1010      10.2850       0.0000       8.0000
   904.1000       2.7680       7.8360      10.0270       0.0000       9.2000
   905.0000       2.7500       5.5970       7.7080       0.0000      12.0000
   906.0000       2.7500       3.4100       5.1310       0.0000       3.0000
   907.0000       2.7500       4.2380       6.5370       0.0000       1.0000
   908.0000       2.6850       7.0200      10.6000       0.0000      15.0000
   909.0000       2.5540       9.9140      14.6630       0.0000       9.0000
   910.0000       1.1500      10.4880      15.2000       0.0000       3.0000
   911.0000       0.4940       9.5800      15.2320       0.0000      14.0000
   912.0000       0.1400       6.9180      10.6960       0.0000       1.0000
   913.0000       0.0000       4.0950       6.1610       0.0000      82.0000
   913.9900       0.0000       4.4634       6.0799       0.0000      15.2566
   914.0000       0.0000       4.4840       6.1000       0.0000      15.0000
   914.9900       0.0000       4.6993       6.3339       0.0000       3.0000
   915.0000       0.0000       4.6620       6.3000       0.0000       3.0000
   915.9900       0.0000       5.5974       8.7530       0.0000       1.0000
   916.0000       0.0000       5.7120       8.9250       0.0000       1.0000
   916.9900       0.0000      14.3725      20.8451       0.0000       1.0777
   917.0000       0.0000      14.4810      20.9870       0.0000       1.0000
   918.0000       0.0000      14.7050      18.3000       0.0000       6.0000
   918.9900       0.0000      10.9206      11.9873       0.0000       3.0000
   919.0000       0.0000      10.8520      11.9250       0.0000       3.0000
   920.0000       0.0000       4.4960       5.5500       0.0000      97.5000
   920.9600       0.0000       3.4110       4.3900       0.0000      27.6400
   921.0000       0.0000       3.4900       4.4890       0.0000      27.0000
   922.0000       0.0000       5.5070       6.9700       0.0000      11.0000
   923.0000       0.0000       8.3180       9.4520       0.0000      17.0000
   923.1500       0.0000       8.2560       9.6000       0.0000      17.4500
   924.0000       0.0000      13.9700      16.1500       0.0000      20.0000
   925.0000       0.0000      15.0230      18.2160       0.0000      22.0000
   926.0000       0.0000       5.6050       7.8480       0.0000      14.0000
   926.2000       0.0000       3.9960       5.7740       0.0000       9.6000
   927.0000       0.0000       2.6680       3.9000       0.0000      18.0000
   928.0000       0.0000       2.4480       3.4600       0.0000      10.0000
   929.0000       0.0000       2.9130       4.0200       0.0000       2.0000
   930.0000       0.0000       2.7410       3.7000       0.0000      29.0000
   930.7500       0.0000      17.8620      23.7160       0.0000       4.5000
   931.0000       0.0000      15.0770      19.9110       0.0000       6.0000
   932.0000       0.0000      16.5180      21.3550       0.0000      21.0000
   933.0000       0.0000      18.7000      23.7630       0.0000       7.0000
   933.3800       0.0000      16.3800      20.6990       0.0000       4.7200
   934.0000       0.0000      12.5370      15.7000       0.0000      10.0000
   935.0000       0.0000       6.1870       7.6370       0.0000       5.0000
   936.0000       0.0000       6.0500       7.3620       0.0000       6.0000
   937.0000       0.0000      15.6400      18.7680       0.0000       1.0000
   937.8000       0.0000      23.5020      27.8920       0.0000      20.4990
   938.0000       0.0000      25.4940      30.1730       0.0000       1.0000
   939.0000       0.0000      35.6130      41.5790       0.0000     148.0000
   940.0000       0.0000      31.5400      39.4000       0.0000      27.0000
   941.0000       0.0000      22.4670      31.4000       0.0000      18.0000
   942.0000       0.0000      14.7540      23.4000       0.0000      22.0000
   943.0000       0.0000       8.4010      15.4000       0.0000      27.0000
   944.0000       0.0000       5.2820       7.4000       0.0000      11.0000
   944.5200       0.0000       2.7790       3.2400       0.0000      10.6000
   945.0000       0.0000       8.2520       9.5160       0.0000       1.0000
   946.0000       0.0000      22.3790      26.8070       0.0000       1.0000
   947.0000       0.0000      35.3910      44.0970       0.0000       3.0000
   948.0000       0.0000      38.9180      49.9690       0.0000       3.0000
   949.0000       0.0000      22.6300      29.2000       0.0000       1.0000
   949.7400       0.0000      10.6800      13.8310       0.0000      13.4800
   950.0000       0.0000       6.5010       8.4310       0.0000       1.0000
   951.0000       0.0000       6.7470       8.7630       0.0000       2.0000
   952.0000       0.0000      13.9660      18.1380       0.0000       2.0000
   953.0000       0.0000      21.1850      27.5120       0.0000      12.0000
   954.0000       0.0000      28.4030      36.8870       0.0000       3.0000
   955.0000       0.0000      35.6220      46.2620       0.0000       6.0000
   956.0000       0.0000      39.6460      51.4880       0.0000      20.0000
   957.0000       0.0000      29.6520      35.3000       0.0000       3.0000
   958.0000       0.0000      19.2500      24.3670       0.0000      18.0000
   959.0000       0.0000       9.9410      13.4330       0.0000      47.0000
   960.0000       0.0000       1.7250       2.5000       0.0000       1.0000
   961.0000       0.0000       6.6840       9.3950       0.0000      51.0000
   962.0000       0.0000      10.7080      14.6110       0.0000      18.0000
   963.0000       0.0000       7.5530       9.9820       0.0000       3.0000
   964.0000       0.0000      20.8470      26.3890       0.0000       3.0000
   965.0000       0.0000      35.2360      42.7960       0.0000       3.0000
   966.0000       0.0000      38.1110      46.0410       0.0000      67.0000
   967.0000       0.0000      29.0160      36.1230       0.0000      31.0000
   968.0000       0.0000      20.4070      26.2040       0.0000      27.0000
   969.0000       0.0000      12.2840      16.2860       0.0000      10.0000
   970.0000       0.0000       4.6470       6.3680       0.0000       6.0000
   971.0000       0.0000       7.4280      10.7430       0.0000       1.0000
   972.0000       0.0000      15.8680      24.6480       0.0000      27.0000
   972.5400       0.0000      20.1160      32.7190       0.0000     117.4410
   973.0000       0.0000      22.4640      40.4760       0.0000      88.0000
   974.0000       0.0000       7.3210      17.2250       0.0000      20.0000
   975.0000       0.0000      10.6740      18.8500       0.0000       5.0000
   976.0000       0.0000      17.5810      23.5150       0.0000       3.0000
   977.0000       0.0000      15.6230      18.8230       0.0000       2.0000
   977.0200       0.0000      15.5430      18.7290       0.0000       2.2400
   978.0000       0.0000      11.6480      14.1310       0.0000       5.0000
   979.0000       0.0000       7.7260       9.4380       0.0000      88.0000
   980.0000       0.0000       3.8580       4.7460       0.0000      27.0000
   981.0000       0.0000       8.3740      10.2040       0.0000      26.0000
   982.0000       0.0000      21.7360      25.8110       0.0000      14.0000
   983.0000       0.0000      35.7670      41.4180       0.0000      23.0000
   984.0000       0.0000      26.7860      30.8840       0.0000      17.0000
   985.0000       0.0000       7.8990       9.1480       0.0000      15.0000
   986.0000       0.0000       6.2040       7.1910       0.0000       0.0000
   987.0000       0.0000       4.5420       5.0950       0.0000       0.0000
   988.0000       0.0000       2.7600       3.0000       0.0000       0.0000
   989.0000       0.0000       2.5820       3.3000       0.0000       0.0000
   989.7900       0.0000       1.9080       2.7610       0.0000       0.0000
   990.0000       0.0000       2.8670       4.1550       0.0000       0.0000
   991.0000       0.0000       7.4460      10.7910       0.0000       0.0000
   991.5500       0.0000      10.0410      14.4410       0.0000       0.0000
   992.0000       0.0000      12.9470      17.4270       0.0000       0.0000
   993.0000       0.0000      19.3530      22.8000       0.0000       0.0000
   994.0000       0.0000      18.0330      21.3850       0.0000       0.0000
   995.0000       0.0000      12.5750      15.1550       0.0000       0.0000
   996.0000       0.0000       7.2850       8.9260       0.0000       0.0000
   997.0000       0.0000       2.1640       2.6960       0.0000       0.0000
   998.0000       0.0000       1.1770       1.4610       0.0000       0.0000
   999.0000       0.0000       1.2000       1.4760       0.0000       0.0000
  1000.0000       0.0000       1.2220       1.4900       0.0000       0.0000
  1001.0000       0.0000       2.2420       2.6930       0.0000       0.0000
  1002.0000       0.0000       3.2910       3.8950       0.0000       0.0000
  1003.0000       0.0000       4.3710       5.0980       0.0000       0.0000
  1004.0000       0.0000       5.4810       6.3000       0.0000       0.0000
  1005.0000       0.0000       4.6450       5.4050       0.0000       0.0000
  1006.0000       0.0000       2.6900       3.1690       0.0000       0.0000
  1007.0000       0.0000       1.2240       1.4600       0.0000       0.0000
  1008.0000       0.0000       1.4780       1.7860       0.0000       0.0000
  1009.0000       0.0000       1.1800       1.4440       0.0000       0.0000
  1010.0000       0.0000       1.1730       1.4540       0.0000       0.0000
  1010.2000       0.0000       1.1520       1.4320       0.0000       0.0000
  1011.0000       0.0000       1.0700       1.3440       0.0000       0.0000
  1012.0000       0.0000       0.9060       1.1530       0.0000       0.0000
  1013.0000       0.0000       0.9540       1.2320       0.0000       0.0000
  1014.0000       0.0000       0.8810       1.1530       0.0000       0.0000
  1015.0000       0.0000       1.1190       1.4850       0.0000       0.0000
  1016.0000       0.0000       0.8840       1.1900       0.0000       0.0000
  1017.0000       0.0000       0.9180       1.2530       0.0000       0.0000
  1018.0000       0.0000       0.8590       1.1900       0.0000       0.0000
  1019.0000       0.0000       0.8460       1.1900       0.0000       0.0000
  1020.0000       0.0000       0.8950       1.2780       0.0000       0.0000
  1021.0000       0.0000       0.9660       1.4000       0.0000       0.0000
  1022.0000       0.0000       0.9980       1.4700       0.0000       0.0000
  1023.0000       0.0000       1.0940       1.6360       0.0000       0.0000
  1024.0000       0.0000       0.9410       1.4300       0.0000       0.0000
  1025.0000       0.0000       0.9400       1.4510       0.0000       0.0000
  1025.7200       0.0000       1.0000       1.6320       0.0000       0.0000
  1026.0000       0.0000       0.0000       1.5190       0.0000       0.0000
  1027.0000       0.0000       0.0000       1.1150       0.0000       0.0000
